action_id,recommendation_id,action_title,action_text,action_owner,effort_level,dependency,phase,action_deliverable,success_measure,indicative_timeline,workstream_type
ACT-D01-04-02,REC-D01-04-02,Remove execution friction in Pricing Model Design,"Diagnose where pricing model design breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-04 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for pricing model design covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in pricing model design over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-04-03,REC-D01-04-03,Build KPI and exception control for Pricing Model Design,"Define the small set of KPIs, service thresholds, and exception categories required to manage pricing model design well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-04 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for pricing model design covering average discount to list, gross margin, and price realization, thresholds, owners, and escalation rules.",Management can review trusted KPIs for pricing model design regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-05-01,REC-D01-05-01,Define the operating standard for Accountability and Ownership,"Map the current state of accountability and ownership, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as RACI, org accountability map, and escalation matrix. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,a clear accountability framework embedded in meetings and workflow ownership,The team can point to a current standard for accountability and ownership and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-05-02,REC-D01-05-02,Remove execution friction in Accountability and Ownership,"Diagnose where accountability and ownership breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-05 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for accountability and ownership covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in accountability and ownership over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-05-03,REC-D01-05-03,Build KPI and exception control for Accountability and Ownership,"Define the small set of KPIs, service thresholds, and exception categories required to manage accountability and ownership well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-05 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for accountability and ownership covering open issue aging, decision turnaround, and cross-functional handoff delays, thresholds, owners, and escalation rules.",Management can review trusted KPIs for accountability and ownership regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-06-01,REC-D01-06-01,Define the operating standard for Management Cadence,"Map the current state of management cadence, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as management calendar, standard agenda, and action log. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,"a management rhythm with clear meeting tiers, agendas, and action ownership",The team can point to a current standard for management cadence and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-06-02,REC-D01-06-02,Remove execution friction in Management Cadence,"Diagnose where management cadence breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-06 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for management cadence covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in management cadence over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-06-03,REC-D01-06-03,Build KPI and exception control for Management Cadence,"Define the small set of KPIs, service thresholds, and exception categories required to manage management cadence well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-06 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for management cadence covering meeting adherence, action closure rate, and decision turnaround time, thresholds, owners, and escalation rules.",Management can review trusted KPIs for management cadence regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-07-01,REC-D01-07-01,Define the operating standard for Data and Reporting Setup,"Map the current state of data and reporting setup, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as data dictionary, report catalogue, and KPI owner list. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,"a reporting model with agreed definitions, ownership, and refresh rules",The team can point to a current standard for data and reporting setup and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-07-02,REC-D01-07-02,Remove execution friction in Data and Reporting Setup,"Diagnose where data and reporting setup breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-07 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for data and reporting setup covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in data and reporting setup over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-07-03,REC-D01-07-03,Build KPI and exception control for Data and Reporting Setup,"Define the small set of KPIs, service thresholds, and exception categories required to manage data and reporting setup well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-07 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for data and reporting setup covering report timeliness, data completeness, and reconciliation exceptions, thresholds, owners, and escalation rules.",Management can review trusted KPIs for data and reporting setup regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-08-01,REC-D01-08-01,Define the operating standard for Systems Landscape,"Map the current state of systems landscape, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as application landscape, integration map, and system usage standards. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,a clear systems architecture aligned to the operating model,The team can point to a current standard for systems landscape and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-08-02,REC-D01-08-02,Remove execution friction in Systems Landscape,"Diagnose where systems landscape breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-08 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for systems landscape covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in systems landscape over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-08-03,REC-D01-08-03,Build KPI and exception control for Systems Landscape,"Define the small set of KPIs, service thresholds, and exception categories required to manage systems landscape well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-08 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for systems landscape covering integration failure rate, system adoption, and manual workaround volume, thresholds, owners, and escalation rules.",Management can review trusted KPIs for systems landscape regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-01-01,REC-D02-01-01,Define the operating standard for Marketing Planning,"Map the current state of marketing planning, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as planning calendar, priority register, and meeting pack or planning deck. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,"a documented planning rhythm with RACI, inputs, outputs, and decision checkpoints",The team can point to a current standard for marketing planning and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-01-02,REC-D02-01-02,Remove execution friction in Marketing Planning,"Diagnose where marketing planning breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-01 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for marketing planning covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in marketing planning over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-01-03,REC-D02-01-03,Build KPI and exception control for Marketing Planning,"Define the small set of KPIs, service thresholds, and exception categories required to manage marketing planning well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-01 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for marketing planning covering on-time planning cycle completion, initiative milestone attainment, and variance to plan, thresholds, owners, and escalation rules.",Management can review trusted KPIs for marketing planning regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-02-01,REC-D02-02-01,Define the operating standard for Campaign Execution,"Map the current state of campaign execution, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as campaign brief, channel plan, and lead capture standards. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,a repeatable campaign operating model with clear ownership and QA gates,The team can point to a current standard for campaign execution and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-02-02,REC-D02-02-02,Remove execution friction in Campaign Execution,"Diagnose where campaign execution breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-02 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for campaign execution covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in campaign execution over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-02-03,REC-D02-02-03,Build KPI and exception control for Campaign Execution,"Define the small set of KPIs, service thresholds, and exception categories required to manage campaign execution well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-02 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for campaign execution covering MQL volume, cost per qualified lead, and channel conversion, thresholds, owners, and escalation rules.",Management can review trusted KPIs for campaign execution regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-03-01,REC-D02-03-01,Define the operating standard for Inbound Capture,"Map the current state of inbound capture, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as web forms, call capture script, and capture-to-CRM workflow. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,a controlled inbound capture design across all entry channels,The team can point to a current standard for inbound capture and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-03-02,REC-D02-03-02,Remove execution friction in Inbound Capture,"Diagnose where inbound capture breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-03 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for inbound capture covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in inbound capture over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-03-03,REC-D02-03-03,Build KPI and exception control for Inbound Capture,"Define the small set of KPIs, service thresholds, and exception categories required to manage inbound capture well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-03 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for inbound capture covering speed to lead, capture completeness, and lead abandonment, thresholds, owners, and escalation rules.",Management can review trusted KPIs for inbound capture regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-04-01,REC-D02-04-01,Define the operating standard for Outbound Prospecting,"Map the current state of outbound prospecting, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as prospecting sequence, account list criteria, and activity standards. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,an outbound operating playbook with target-account logic and execution standards,The team can point to a current standard for outbound prospecting and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-04-02,REC-D02-04-02,Remove execution friction in Outbound Prospecting,"Diagnose where outbound prospecting breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-04 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for outbound prospecting covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in outbound prospecting over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-04-03,REC-D02-04-03,Build KPI and exception control for Outbound Prospecting,"Define the small set of KPIs, service thresholds, and exception categories required to manage outbound prospecting well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-04 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for outbound prospecting covering connect rate, meeting booked rate, and outbound-sourced pipeline, thresholds, owners, and escalation rules.",Management can review trusted KPIs for outbound prospecting regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-05-01,REC-D02-05-01,Define the operating standard for Lead Qualification,"Map the current state of lead qualification, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as qualification framework, stage entry criteria, and rejection reason codes. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,a shared qualification standard embedded in systems and coaching,The team can point to a current standard for lead qualification and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-05-02,REC-D02-05-02,Remove execution friction in Lead Qualification,"Diagnose where lead qualification breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-05 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for lead qualification covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in lead qualification over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-05-03,REC-D02-05-03,Build KPI and exception control for Lead Qualification,"Define the small set of KPIs, service thresholds, and exception categories required to manage lead qualification well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-05 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for lead qualification covering qualification-to-win rate, recycle rate, and accepted lead rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for lead qualification regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D02-06-01,REC-D02-06-01,Define the operating standard for Lead Routing and Handoff,"Map the current state of lead routing and handoff, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as handoff template, acceptance checklist, and SLA rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Marketing Operations / Sales Operations,Medium,,Phase 2,a controlled handoff standard with acceptance criteria and ownership,The team can point to a current standard for lead routing and handoff and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D02-06-02,REC-D02-06-02,Remove execution friction in Lead Routing and Handoff,"Diagnose where lead routing and handoff breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Marketing Operations / Sales Operations,High,"WF-D02-06 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for lead routing and handoff covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in lead routing and handoff over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D02-06-03,REC-D02-06-03,Build KPI and exception control for Lead Routing and Handoff,"Define the small set of KPIs, service thresholds, and exception categories required to manage lead routing and handoff well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Marketing Operations / Sales Operations,Medium,"WF-D02-06 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for lead routing and handoff covering handoff SLA attainment, handoff rejection rate, and rework volume, thresholds, owners, and escalation rules.",Management can review trusted KPIs for lead routing and handoff regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-01-01,REC-D03-01-01,Define the operating standard for Discovery and Qualification,"Map the current state of discovery and qualification, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as qualification framework, stage entry criteria, and rejection reason codes. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,a shared qualification standard embedded in systems and coaching,The team can point to a current standard for discovery and qualification and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-01-02,REC-D03-01-02,Remove execution friction in Discovery and Qualification,"Diagnose where discovery and qualification breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-01 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for discovery and qualification covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in discovery and qualification over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-01-03,REC-D03-01-03,Build KPI and exception control for Discovery and Qualification,"Define the small set of KPIs, service thresholds, and exception categories required to manage discovery and qualification well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-01 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for discovery and qualification covering qualification-to-win rate, recycle rate, and accepted lead rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for discovery and qualification regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-02-01,REC-D03-02-01,Define the operating standard for Opportunity Management,"Map the current state of opportunity management, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as pipeline stages, deal review template, and next-step discipline rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,a pipeline management standard with evidence-based progression rules,The team can point to a current standard for opportunity management and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-02-02,REC-D03-02-02,Remove execution friction in Opportunity Management,"Diagnose where opportunity management breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-02 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for opportunity management covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in opportunity management over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-02-03,REC-D03-02-03,Build KPI and exception control for Opportunity Management,"Define the small set of KPIs, service thresholds, and exception categories required to manage opportunity management well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-02 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for opportunity management covering stage conversion, sales cycle length, and forecast accuracy, thresholds, owners, and escalation rules.",Management can review trusted KPIs for opportunity management regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-03-01,REC-D03-03-01,Define the operating standard for Proposal and Quoting,"Map the current state of proposal and quoting, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as quote template, proposal checklist, and approval log. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,"a controlled quote/proposal workflow with templates, QA, and approvals",The team can point to a current standard for proposal and quoting and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
