finding_id,question_id,domain_id,workflow_id,recommendation_id,action_id,score_band,severity_label,finding_title,finding_text,business_impact,likely_root_cause,evidence_to_validate,report_priority
FND-D01-02-02-45,Q-D01-02-02,D01,WF-D01-02,REC-D01-02-02,ACT-D01-02-02,4-5,Strong / Managed,Customer and Segment Definition execution is disciplined and predictable,"The audit indicates that customer and segment definition runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in customer and segment definition supports stronger control over target segment conversion leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in customer and segment definition.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Low
FND-D01-02-03-12,Q-D01-02-03,D01,WF-D01-02,REC-D01-02-03,ACT-D01-02-03,1-2,Critical / Weak,Customer and Segment Definition lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over customer and segment definition. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",High
FND-D01-02-03-3,Q-D01-02-03,D01,WF-D01-02,REC-D01-02-03,ACT-D01-02-03,3,Developing,Customer and Segment Definition has partial reporting but incomplete control,"The audit indicates that some reporting is in place for customer and segment definition, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Medium
FND-D01-02-03-45,Q-D01-02-03,D01,WF-D01-02,REC-D01-02-03,ACT-D01-02-03,4-5,Strong / Managed,"Customer and Segment Definition is visible, measured, and actively managed","The audit indicates that customer and segment definition is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in customer and segment definition supports stronger control over target segment conversion leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in customer and segment definition.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Low
FND-D01-03-01-12,Q-D01-03-01,D01,WF-D01-03,REC-D01-03-01,ACT-D01-03-01,1-2,Critical / Weak,Offer and Service Design is not operating from a clear and controlled standard,"The audit indicates that offer and service design is not yet defined as an end-to-end controlled process. Critical elements such as scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements.","offer catalogue, service blueprint, and commercial rules",High
FND-D01-03-01-3,Q-D01-03-01,D01,WF-D01-03,REC-D01-03-01,ACT-D01-03-01,3,Developing,Offer and Service Design has a partial standard but still depends on inconsistent practice,"The audit indicates that offer and service design has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements.","offer catalogue, service blueprint, and commercial rules",Medium
FND-D01-03-01-45,Q-D01-03-01,D01,WF-D01-03,REC-D01-03-01,ACT-D01-03-01,4-5,Strong / Managed,Offer and Service Design is largely standardised and well owned,"The audit indicates that offer and service design is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in offer and service design supports stronger control over offer margin and win-rate leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in offer and service design.","offer catalogue, service blueprint, and commercial rules",Low
FND-D01-03-02-12,Q-D01-03-02,D01,WF-D01-03,REC-D01-03-02,ACT-D01-03-02,1-2,Critical / Weak,Offer and Service Design execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of offer and service design is unstable. Common symptoms include custom work bypasses standards, scope is ambiguous, and teams sell or deliver inconsistent versions, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of offer margin and win-rate leakage.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","offer catalogue, service blueprint, and commercial rules",High
FND-D01-03-02-3,Q-D01-03-02,D01,WF-D01-03,REC-D01-03-02,ACT-D01-03-02,3,Developing,Offer and Service Design execution is functioning but not yet consistently reliable,"The audit indicates that offer and service design can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","offer catalogue, service blueprint, and commercial rules",Medium
FND-D01-03-02-45,Q-D01-03-02,D01,WF-D01-03,REC-D01-03-02,ACT-D01-03-02,4-5,Strong / Managed,Offer and Service Design execution is disciplined and predictable,"The audit indicates that offer and service design runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in offer and service design supports stronger control over offer margin and win-rate leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in offer and service design.","offer catalogue, service blueprint, and commercial rules",Low
FND-D01-03-03-12,Q-D01-03-03,D01,WF-D01-03,REC-D01-03-03,ACT-D01-03-03,1-2,Critical / Weak,Offer and Service Design lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over offer and service design. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","offer catalogue, service blueprint, and commercial rules",High
FND-D01-03-03-3,Q-D01-03-03,D01,WF-D01-03,REC-D01-03-03,ACT-D01-03-03,3,Developing,Offer and Service Design has partial reporting but incomplete control,"The audit indicates that some reporting is in place for offer and service design, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in offer and service design increases exposure to offer margin and win-rate leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","offer catalogue, service blueprint, and commercial rules",Medium
FND-D01-03-03-45,Q-D01-03-03,D01,WF-D01-03,REC-D01-03-03,ACT-D01-03-03,4-5,Strong / Managed,"Offer and Service Design is visible, measured, and actively managed","The audit indicates that offer and service design is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in offer and service design supports stronger control over offer margin and win-rate leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in offer and service design.","offer catalogue, service blueprint, and commercial rules",Low
FND-D01-04-01-12,Q-D01-04-01,D01,WF-D01-04,REC-D01-04-01,ACT-D01-04-01,1-2,Critical / Weak,Pricing Model Design is not operating from a clear and controlled standard,"The audit indicates that pricing model design is not yet defined as an end-to-end controlled process. Critical elements such as pricing architecture, discount rules, approval rights, and approved exceptions are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on pricing architecture, discount rules, approval rights, and approved exceptions.","price book, discount matrix, and approval matrix",High
FND-D01-04-01-3,Q-D01-04-01,D01,WF-D01-04,REC-D01-04-01,ACT-D01-04-01,3,Developing,Pricing Model Design has a partial standard but still depends on inconsistent practice,"The audit indicates that pricing model design has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on pricing architecture, discount rules, approval rights, and approved exceptions.","price book, discount matrix, and approval matrix",Medium
FND-D01-04-01-45,Q-D01-04-01,D01,WF-D01-04,REC-D01-04-01,ACT-D01-04-01,4-5,Strong / Managed,Pricing Model Design is largely standardised and well owned,"The audit indicates that pricing model design is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in pricing model design supports stronger control over pricing / discount leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in pricing model design.","price book, discount matrix, and approval matrix",Low
FND-D01-04-02-12,Q-D01-04-02,D01,WF-D01-04,REC-D01-04-02,ACT-D01-04-02,1-2,Critical / Weak,Pricing Model Design execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of pricing model design is unstable. Common symptoms include uncontrolled discounting, inconsistent deal pricing, and downstream invoice disputes, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of pricing / discount leakage.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","price book, discount matrix, and approval matrix",High
FND-D01-04-02-3,Q-D01-04-02,D01,WF-D01-04,REC-D01-04-02,ACT-D01-04-02,3,Developing,Pricing Model Design execution is functioning but not yet consistently reliable,"The audit indicates that pricing model design can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","price book, discount matrix, and approval matrix",Medium
FND-D01-04-02-45,Q-D01-04-02,D01,WF-D01-04,REC-D01-04-02,ACT-D01-04-02,4-5,Strong / Managed,Pricing Model Design execution is disciplined and predictable,"The audit indicates that pricing model design runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in pricing model design supports stronger control over pricing / discount leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in pricing model design.","price book, discount matrix, and approval matrix",Low
FND-D01-04-03-12,Q-D01-04-03,D01,WF-D01-04,REC-D01-04-03,ACT-D01-04-03,1-2,Critical / Weak,Pricing Model Design lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over pricing model design. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","price book, discount matrix, and approval matrix",High
FND-D01-04-03-3,Q-D01-04-03,D01,WF-D01-04,REC-D01-04-03,ACT-D01-04-03,3,Developing,Pricing Model Design has partial reporting but incomplete control,"The audit indicates that some reporting is in place for pricing model design, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in pricing model design increases exposure to pricing / discount leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","price book, discount matrix, and approval matrix",Medium
FND-D01-04-03-45,Q-D01-04-03,D01,WF-D01-04,REC-D01-04-03,ACT-D01-04-03,4-5,Strong / Managed,"Pricing Model Design is visible, measured, and actively managed","The audit indicates that pricing model design is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in pricing model design supports stronger control over pricing / discount leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in pricing model design.","price book, discount matrix, and approval matrix",Low
FND-D01-05-01-12,Q-D01-05-01,D01,WF-D01-05,REC-D01-05-01,ACT-D01-05-01,1-2,Critical / Weak,Accountability and Ownership is not operating from a clear and controlled standard,"The audit indicates that accountability and ownership is not yet defined as an end-to-end controlled process. Critical elements such as roles, decision rights, escalation paths, and accountability for outcomes are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on roles, decision rights, escalation paths, and accountability for outcomes.","RACI, org accountability map, and escalation matrix",High
FND-D01-05-01-3,Q-D01-05-01,D01,WF-D01-05,REC-D01-05-01,ACT-D01-05-01,3,Developing,Accountability and Ownership has a partial standard but still depends on inconsistent practice,"The audit indicates that accountability and ownership has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on roles, decision rights, escalation paths, and accountability for outcomes.","RACI, org accountability map, and escalation matrix",Medium
FND-D01-05-01-45,Q-D01-05-01,D01,WF-D01-05,REC-D01-05-01,ACT-D01-05-01,4-5,Strong / Managed,Accountability and Ownership is largely standardised and well owned,"The audit indicates that accountability and ownership is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in accountability and ownership supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in accountability and ownership.","RACI, org accountability map, and escalation matrix",Low
FND-D01-05-02-12,Q-D01-05-02,D01,WF-D01-05,REC-D01-05-02,ACT-D01-05-02,1-2,Critical / Weak,Accountability and Ownership execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of accountability and ownership is unstable. Common symptoms include tasks fall between teams, escalation is slow, and accountability is diffused, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of cross-metric / multiple.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","RACI, org accountability map, and escalation matrix",High
FND-D01-05-02-3,Q-D01-05-02,D01,WF-D01-05,REC-D01-05-02,ACT-D01-05-02,3,Developing,Accountability and Ownership execution is functioning but not yet consistently reliable,"The audit indicates that accountability and ownership can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","RACI, org accountability map, and escalation matrix",Medium
FND-D01-05-02-45,Q-D01-05-02,D01,WF-D01-05,REC-D01-05-02,ACT-D01-05-02,4-5,Strong / Managed,Accountability and Ownership execution is disciplined and predictable,"The audit indicates that accountability and ownership runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in accountability and ownership supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in accountability and ownership.","RACI, org accountability map, and escalation matrix",Low
FND-D01-05-03-12,Q-D01-05-03,D01,WF-D01-05,REC-D01-05-03,ACT-D01-05-03,1-2,Critical / Weak,Accountability and Ownership lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over accountability and ownership. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","RACI, org accountability map, and escalation matrix",High
FND-D01-05-03-3,Q-D01-05-03,D01,WF-D01-05,REC-D01-05-03,ACT-D01-05-03,3,Developing,Accountability and Ownership has partial reporting but incomplete control,"The audit indicates that some reporting is in place for accountability and ownership, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in accountability and ownership increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","RACI, org accountability map, and escalation matrix",Medium
FND-D01-05-03-45,Q-D01-05-03,D01,WF-D01-05,REC-D01-05-03,ACT-D01-05-03,4-5,Strong / Managed,"Accountability and Ownership is visible, measured, and actively managed","The audit indicates that accountability and ownership is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in accountability and ownership supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in accountability and ownership.","RACI, org accountability map, and escalation matrix",Low
FND-D01-06-01-12,Q-D01-06-01,D01,WF-D01-06,REC-D01-06-01,ACT-D01-06-01,1-2,Critical / Weak,Management Cadence is not operating from a clear and controlled standard,"The audit indicates that management cadence is not yet defined as an end-to-end controlled process. Critical elements such as meeting purpose, inputs, outputs, participants, and escalation rules are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in management cadence increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on meeting purpose, inputs, outputs, participants, and escalation rules.","management calendar, standard agenda, and action log",High
FND-D01-06-01-3,Q-D01-06-01,D01,WF-D01-06,REC-D01-06-01,ACT-D01-06-01,3,Developing,Management Cadence has a partial standard but still depends on inconsistent practice,"The audit indicates that management cadence has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in management cadence increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on meeting purpose, inputs, outputs, participants, and escalation rules.","management calendar, standard agenda, and action log",Medium
FND-D01-06-01-45,Q-D01-06-01,D01,WF-D01-06,REC-D01-06-01,ACT-D01-06-01,4-5,Strong / Managed,Management Cadence is largely standardised and well owned,"The audit indicates that management cadence is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in management cadence supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in management cadence.","management calendar, standard agenda, and action log",Low
