roadmap_id,domain_id,workflow_id,question_id,recommendation_id,action_id,transformation_id,phase_number,phase_name,milestone_name,milestone_description,owner_role,dependency,indicative_timeline,target_outcome,kpi_focus,automation_or_ai_opportunity
RDM-D01-04-03,D01,WF-D01-04,Q-D01-04-03,REC-D01-04-03,ACT-D01-04-03,TRN-D01-04-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Pricing Model Design,"Create trusted KPI visibility over pricing model design, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-04 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage pricing model design proactively and protect pricing / discount leakage with earlier intervention.,"average discount to list, gross margin, and price realization",recommended pricing ranges based on win/loss and margin patterns
RDM-D01-05-01,D01,WF-D01-05,Q-D01-05-01,REC-D01-05-01,ACT-D01-05-01,TRN-D01-05-01,1,Design and Ownership Reset,Standardise Accountability and Ownership,"Define the future-state operating standard for accountability and ownership, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Accountability and Ownership can be run from a clear standard rather than tribal knowledge.,"open issue aging, decision turnaround, and cross-functional handoff delays",owner assignment and escalation triggers
RDM-D01-05-02,D01,WF-D01-05,Q-D01-05-02,REC-D01-05-02,ACT-D01-05-02,TRN-D01-05-02,2,Execution Stabilisation,Stabilise execution of Accountability and Ownership,"Remove the most material points of delay, rework, and inconsistency in accountability and ownership and embed service-quality expectations.",Executive Leadership,"WF-D01-05 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Accountability and Ownership operates with better predictability, lower friction, and less leakage into downstream teams.","open issue aging, decision turnaround, and cross-functional handoff delays",owner assignment and escalation triggers
RDM-D01-05-03,D01,WF-D01-05,Q-D01-05-03,REC-D01-05-03,ACT-D01-05-03,TRN-D01-05-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Accountability and Ownership,"Create trusted KPI visibility over accountability and ownership, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-05 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage accountability and ownership proactively and protect cross-metric / multiple with earlier intervention.,"open issue aging, decision turnaround, and cross-functional handoff delays",analysis of recurring ownership bottlenecks
RDM-D01-06-01,D01,WF-D01-06,Q-D01-06-01,REC-D01-06-01,ACT-D01-06-01,TRN-D01-06-01,1,Design and Ownership Reset,Standardise Management Cadence,"Define the future-state operating standard for management cadence, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Management Cadence can be run from a clear standard rather than tribal knowledge.,"meeting adherence, action closure rate, and decision turnaround time",automated agenda packs and action reminders
RDM-D01-06-02,D01,WF-D01-06,Q-D01-06-02,REC-D01-06-02,ACT-D01-06-02,TRN-D01-06-02,2,Execution Stabilisation,Stabilise execution of Management Cadence,"Remove the most material points of delay, rework, and inconsistency in management cadence and embed service-quality expectations.",Executive Leadership,"WF-D01-06 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Management Cadence operates with better predictability, lower friction, and less leakage into downstream teams.","meeting adherence, action closure rate, and decision turnaround time",automated agenda packs and action reminders
RDM-D01-06-03,D01,WF-D01-06,Q-D01-06-03,REC-D01-06-03,ACT-D01-06-03,TRN-D01-06-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Management Cadence,"Create trusted KPI visibility over management cadence, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-06 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage management cadence proactively and protect cross-metric / multiple with earlier intervention.,"meeting adherence, action closure rate, and decision turnaround time",summary extraction and risk themes from meeting notes
RDM-D01-07-01,D01,WF-D01-07,Q-D01-07-01,REC-D01-07-01,ACT-D01-07-01,TRN-D01-07-01,1,Design and Ownership Reset,Standardise Data and Reporting Setup,"Define the future-state operating standard for data and reporting setup, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Data and Reporting Setup can be run from a clear standard rather than tribal knowledge.,"report timeliness, data completeness, and reconciliation exceptions",scheduled data refreshes and exception flags
RDM-D01-07-02,D01,WF-D01-07,Q-D01-07-02,REC-D01-07-02,ACT-D01-07-02,TRN-D01-07-02,2,Execution Stabilisation,Stabilise execution of Data and Reporting Setup,"Remove the most material points of delay, rework, and inconsistency in data and reporting setup and embed service-quality expectations.",Executive Leadership,"WF-D01-07 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Data and Reporting Setup operates with better predictability, lower friction, and less leakage into downstream teams.","report timeliness, data completeness, and reconciliation exceptions",scheduled data refreshes and exception flags
RDM-D01-07-03,D01,WF-D01-07,Q-D01-07-03,REC-D01-07-03,ACT-D01-07-03,TRN-D01-07-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Data and Reporting Setup,"Create trusted KPI visibility over data and reporting setup, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-07 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage data and reporting setup proactively and protect cross-metric / multiple with earlier intervention.,"report timeliness, data completeness, and reconciliation exceptions",narrative insights and anomaly detection on KPI movement
RDM-D01-08-01,D01,WF-D01-08,Q-D01-08-01,REC-D01-08-01,ACT-D01-08-01,TRN-D01-08-01,1,Design and Ownership Reset,Standardise Systems Landscape,"Define the future-state operating standard for systems landscape, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Systems Landscape can be run from a clear standard rather than tribal knowledge.,"integration failure rate, system adoption, and manual workaround volume",system-triggered handoffs and integration monitoring
RDM-D01-08-02,D01,WF-D01-08,Q-D01-08-02,REC-D01-08-02,ACT-D01-08-02,TRN-D01-08-02,2,Execution Stabilisation,Stabilise execution of Systems Landscape,"Remove the most material points of delay, rework, and inconsistency in systems landscape and embed service-quality expectations.",Executive Leadership,"WF-D01-08 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Systems Landscape operates with better predictability, lower friction, and less leakage into downstream teams.","integration failure rate, system adoption, and manual workaround volume",system-triggered handoffs and integration monitoring
RDM-D01-08-03,D01,WF-D01-08,Q-D01-08-03,REC-D01-08-03,ACT-D01-08-03,TRN-D01-08-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Systems Landscape,"Create trusted KPI visibility over systems landscape, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-08 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage systems landscape proactively and protect cross-metric / multiple with earlier intervention.,"integration failure rate, system adoption, and manual workaround volume",detection of process friction from event logs
RDM-D02-01-01,D02,WF-D02-01,Q-D02-01-01,REC-D02-01-01,ACT-D02-01-01,TRN-D02-01-01,1,Design and Ownership Reset,Standardise Marketing Planning,"Define the future-state operating standard for marketing planning, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Marketing Planning can be run from a clear standard rather than tribal knowledge.,"on-time planning cycle completion, initiative milestone attainment, and variance to plan","automated planning reminders, action trackers, and exception workflows"
RDM-D02-01-02,D02,WF-D02-01,Q-D02-01-02,REC-D02-01-02,ACT-D02-01-02,TRN-D02-01-02,2,Execution Stabilisation,Stabilise execution of Marketing Planning,"Remove the most material points of delay, rework, and inconsistency in marketing planning and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-01 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Marketing Planning operates with better predictability, lower friction, and less leakage into downstream teams.","on-time planning cycle completion, initiative milestone attainment, and variance to plan","automated planning reminders, action trackers, and exception workflows"
RDM-D02-01-03,D02,WF-D02-01,Q-D02-01-03,REC-D02-01-03,ACT-D02-01-03,TRN-D02-01-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Marketing Planning,"Create trusted KPI visibility over marketing planning, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-01 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage marketing planning proactively and protect qualified lead volume leakage with earlier intervention.,"on-time planning cycle completion, initiative milestone attainment, and variance to plan",initiative risk scoring and summary generation from review packs
RDM-D02-02-01,D02,WF-D02-02,Q-D02-02-01,REC-D02-02-01,ACT-D02-02-01,TRN-D02-02-01,1,Design and Ownership Reset,Standardise Campaign Execution,"Define the future-state operating standard for campaign execution, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Campaign Execution can be run from a clear standard rather than tribal knowledge.,"MQL volume, cost per qualified lead, and channel conversion",campaign workflow automation and lead nurture triggers
RDM-D02-02-02,D02,WF-D02-02,Q-D02-02-02,REC-D02-02-02,ACT-D02-02-02,TRN-D02-02-02,2,Execution Stabilisation,Stabilise execution of Campaign Execution,"Remove the most material points of delay, rework, and inconsistency in campaign execution and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-02 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Campaign Execution operates with better predictability, lower friction, and less leakage into downstream teams.","MQL volume, cost per qualified lead, and channel conversion",campaign workflow automation and lead nurture triggers
RDM-D02-02-03,D02,WF-D02-02,Q-D02-02-03,REC-D02-02-03,ACT-D02-02-03,TRN-D02-02-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Campaign Execution,"Create trusted KPI visibility over campaign execution, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-02 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage campaign execution proactively and protect qualified lead volume leakage with earlier intervention.,"MQL volume, cost per qualified lead, and channel conversion",content/campaign performance summarization and targeting suggestions
RDM-D02-03-01,D02,WF-D02-03,Q-D02-03-01,REC-D02-03-01,ACT-D02-03-01,TRN-D02-03-01,1,Design and Ownership Reset,Standardise Inbound Capture,"Define the future-state operating standard for inbound capture, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Inbound Capture can be run from a clear standard rather than tribal knowledge.,"speed to lead, capture completeness, and lead abandonment","auto-enrichment, deduplication, and instant routing"
RDM-D02-03-02,D02,WF-D02-03,Q-D02-03-02,REC-D02-03-02,ACT-D02-03-02,TRN-D02-03-02,2,Execution Stabilisation,Stabilise execution of Inbound Capture,"Remove the most material points of delay, rework, and inconsistency in inbound capture and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-03 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Inbound Capture operates with better predictability, lower friction, and less leakage into downstream teams.","speed to lead, capture completeness, and lead abandonment","auto-enrichment, deduplication, and instant routing"
RDM-D02-03-03,D02,WF-D02-03,Q-D02-03-03,REC-D02-03-03,ACT-D02-03-03,TRN-D02-03-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Inbound Capture,"Create trusted KPI visibility over inbound capture, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-03 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage inbound capture proactively and protect qualified lead volume leakage with earlier intervention.,"speed to lead, capture completeness, and lead abandonment",lead intent triage and priority scoring
RDM-D02-04-01,D02,WF-D02-04,Q-D02-04-01,REC-D02-04-01,ACT-D02-04-01,TRN-D02-04-01,1,Design and Ownership Reset,Standardise Outbound Prospecting,"Define the future-state operating standard for outbound prospecting, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Outbound Prospecting can be run from a clear standard rather than tribal knowledge.,"connect rate, meeting booked rate, and outbound-sourced pipeline",task sequencing and trigger-based follow-up
RDM-D02-04-02,D02,WF-D02-04,Q-D02-04-02,REC-D02-04-02,ACT-D02-04-02,TRN-D02-04-02,2,Execution Stabilisation,Stabilise execution of Outbound Prospecting,"Remove the most material points of delay, rework, and inconsistency in outbound prospecting and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-04 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Outbound Prospecting operates with better predictability, lower friction, and less leakage into downstream teams.","connect rate, meeting booked rate, and outbound-sourced pipeline",task sequencing and trigger-based follow-up
RDM-D02-04-03,D02,WF-D02-04,Q-D02-04-03,REC-D02-04-03,ACT-D02-04-03,TRN-D02-04-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Outbound Prospecting,"Create trusted KPI visibility over outbound prospecting, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-04 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage outbound prospecting proactively and protect qualified lead volume leakage with earlier intervention.,"connect rate, meeting booked rate, and outbound-sourced pipeline",message personalization support and account prioritization
RDM-D02-05-01,D02,WF-D02-05,Q-D02-05-01,REC-D02-05-01,ACT-D02-05-01,TRN-D02-05-01,1,Design and Ownership Reset,Standardise Lead Qualification,"Define the future-state operating standard for lead qualification, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Lead Qualification can be run from a clear standard rather than tribal knowledge.,"qualification-to-win rate, recycle rate, and accepted lead rate",rule-based qualification checks and routing
RDM-D02-05-02,D02,WF-D02-05,Q-D02-05-02,REC-D02-05-02,ACT-D02-05-02,TRN-D02-05-02,2,Execution Stabilisation,Stabilise execution of Lead Qualification,"Remove the most material points of delay, rework, and inconsistency in lead qualification and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-05 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Lead Qualification operates with better predictability, lower friction, and less leakage into downstream teams.","qualification-to-win rate, recycle rate, and accepted lead rate",rule-based qualification checks and routing
RDM-D02-05-03,D02,WF-D02-05,Q-D02-05-03,REC-D02-05-03,ACT-D02-05-03,TRN-D02-05-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Lead Qualification,"Create trusted KPI visibility over lead qualification, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-05 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage lead qualification proactively and protect qualified lead volume leakage with earlier intervention.,"qualification-to-win rate, recycle rate, and accepted lead rate",lead/deal scoring from historical fit patterns
RDM-D02-06-01,D02,WF-D02-06,Q-D02-06-01,REC-D02-06-01,ACT-D02-06-01,TRN-D02-06-01,1,Design and Ownership Reset,Standardise Lead Routing and Handoff,"Define the future-state operating standard for lead routing and handoff, including roles, decision rights, system steps, handoffs, and evidence requirements.",Marketing Operations / Sales Operations,,"2-4 weeks to design and align, depending on complexity",Lead Routing and Handoff can be run from a clear standard rather than tribal knowledge.,"handoff SLA attainment, handoff rejection rate, and rework volume","task creation, alerts, and required-field gates at handoff"
RDM-D02-06-02,D02,WF-D02-06,Q-D02-06-02,REC-D02-06-02,ACT-D02-06-02,TRN-D02-06-02,2,Execution Stabilisation,Stabilise execution of Lead Routing and Handoff,"Remove the most material points of delay, rework, and inconsistency in lead routing and handoff and embed service-quality expectations.",Marketing Operations / Sales Operations,"WF-D02-06 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Lead Routing and Handoff operates with better predictability, lower friction, and less leakage into downstream teams.","handoff SLA attainment, handoff rejection rate, and rework volume","task creation, alerts, and required-field gates at handoff"
RDM-D02-06-03,D02,WF-D02-06,Q-D02-06-03,REC-D02-06-03,ACT-D02-06-03,TRN-D02-06-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Lead Routing and Handoff,"Create trusted KPI visibility over lead routing and handoff, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Marketing Operations / Sales Operations,"WF-D02-06 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage lead routing and handoff proactively and protect qualified lead volume leakage with earlier intervention.,"handoff SLA attainment, handoff rejection rate, and rework volume",quality scoring of handoff completeness
RDM-D03-01-01,D03,WF-D03-01,Q-D03-01-01,REC-D03-01-01,ACT-D03-01-01,TRN-D03-01-01,1,Design and Ownership Reset,Standardise Discovery and Qualification,"Define the future-state operating standard for discovery and qualification, including roles, decision rights, system steps, handoffs, and evidence requirements.",Sales Leadership,,"2-4 weeks to design and align, depending on complexity",Discovery and Qualification can be run from a clear standard rather than tribal knowledge.,"qualification-to-win rate, recycle rate, and accepted lead rate",rule-based qualification checks and routing
RDM-D03-01-02,D03,WF-D03-01,Q-D03-01-02,REC-D03-01-02,ACT-D03-01-02,TRN-D03-01-02,2,Execution Stabilisation,Stabilise execution of Discovery and Qualification,"Remove the most material points of delay, rework, and inconsistency in discovery and qualification and embed service-quality expectations.",Sales Leadership,"WF-D03-01 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Discovery and Qualification operates with better predictability, lower friction, and less leakage into downstream teams.","qualification-to-win rate, recycle rate, and accepted lead rate",rule-based qualification checks and routing
RDM-D03-01-03,D03,WF-D03-01,Q-D03-01-03,REC-D03-01-03,ACT-D03-01-03,TRN-D03-01-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Discovery and Qualification,"Create trusted KPI visibility over discovery and qualification, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Sales Leadership,"WF-D03-01 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage discovery and qualification proactively and protect qualified lead-to-win conversion leakage with earlier intervention.,"qualification-to-win rate, recycle rate, and accepted lead rate",lead/deal scoring from historical fit patterns
RDM-D03-02-01,D03,WF-D03-02,Q-D03-02-01,REC-D03-02-01,ACT-D03-02-01,TRN-D03-02-01,1,Design and Ownership Reset,Standardise Opportunity Management,"Define the future-state operating standard for opportunity management, including roles, decision rights, system steps, handoffs, and evidence requirements.",Sales Leadership,,"2-4 weeks to design and align, depending on complexity",Opportunity Management can be run from a clear standard rather than tribal knowledge.,"stage conversion, sales cycle length, and forecast accuracy",stage aging alerts and task nudges
RDM-D03-02-02,D03,WF-D03-02,Q-D03-02-02,REC-D03-02-02,ACT-D03-02-02,TRN-D03-02-02,2,Execution Stabilisation,Stabilise execution of Opportunity Management,"Remove the most material points of delay, rework, and inconsistency in opportunity management and embed service-quality expectations.",Sales Leadership,"WF-D03-02 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Opportunity Management operates with better predictability, lower friction, and less leakage into downstream teams.","stage conversion, sales cycle length, and forecast accuracy",stage aging alerts and task nudges
RDM-D03-02-03,D03,WF-D03-02,Q-D03-02-03,REC-D03-02-03,ACT-D03-02-03,TRN-D03-02-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Opportunity Management,"Create trusted KPI visibility over opportunity management, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Sales Leadership,"WF-D03-02 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage opportunity management proactively and protect qualified lead-to-win conversion leakage with earlier intervention.,"stage conversion, sales cycle length, and forecast accuracy",deal risk scoring and forecast commentary
RDM-D03-03-01,D03,WF-D03-03,Q-D03-03-01,REC-D03-03-01,ACT-D03-03-01,TRN-D03-03-01,1,Design and Ownership Reset,Standardise Proposal and Quoting,"Define the future-state operating standard for proposal and quoting, including roles, decision rights, system steps, handoffs, and evidence requirements.",Sales Leadership,,"2-4 weeks to design and align, depending on complexity",Proposal and Quoting can be run from a clear standard rather than tribal knowledge.,"quote turnaround time, proposal acceptance rate, and quote rework rate","CPQ flows, template population, and approval routing"
RDM-D03-03-02,D03,WF-D03-03,Q-D03-03-02,REC-D03-03-02,ACT-D03-03-02,TRN-D03-03-02,2,Execution Stabilisation,Stabilise execution of Proposal and Quoting,"Remove the most material points of delay, rework, and inconsistency in proposal and quoting and embed service-quality expectations.",Sales Leadership,"WF-D03-03 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Proposal and Quoting operates with better predictability, lower friction, and less leakage into downstream teams.","quote turnaround time, proposal acceptance rate, and quote rework rate","CPQ flows, template population, and approval routing"
RDM-D03-03-03,D03,WF-D03-03,Q-D03-03-03,REC-D03-03-03,ACT-D03-03-03,TRN-D03-03-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Proposal and Quoting,"Create trusted KPI visibility over proposal and quoting, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Sales Leadership,"WF-D03-03 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage proposal and quoting proactively and protect qualified lead-to-win conversion leakage with earlier intervention.,"quote turnaround time, proposal acceptance rate, and quote rework rate",proposal draft support and competitive language suggestions
RDM-D03-04-01,D03,WF-D03-04,Q-D03-04-01,REC-D03-04-01,ACT-D03-04-01,TRN-D03-04-01,1,Design and Ownership Reset,Standardise Pricing and Discount Approval,"Define the future-state operating standard for pricing and discount approval, including roles, decision rights, system steps, handoffs, and evidence requirements.",Sales Leadership,,"2-4 weeks to design and align, depending on complexity",Pricing and Discount Approval can be run from a clear standard rather than tribal knowledge.,"approval turnaround, average discount, and margin at approval",deal desk workflows and rule-based approvals
