step_id,workflow_id,step_name,step_description,display_order
ST-D03-03-02,WF-D03-03,Execution Discipline and Service Quality,"Tests whether proposal and quoting operates consistently in practice and whether quotes and proposals are produced accurately, competitively, and within response targets without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-03-03,WF-D03-03,"Visibility, KPI Control, and Escalation","Tests whether proposal and quoting is controlled through clear metrics such as quote turnaround time, proposal acceptance rate, and quote rework rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-04-01,WF-D03-04,Process Design and Ownership,"Tests whether pricing and discount approval has a documented end-to-end design covering approval thresholds, exception logic, review rights, and evidential support for decisions, with clear ownership, decision rights, and handoff rules.",1
ST-D03-04-02,WF-D03-04,Execution Discipline and Service Quality,"Tests whether pricing and discount approval operates consistently in practice and whether non-standard pricing is reviewed fast without bypassing policy without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-04-03,WF-D03-04,"Visibility, KPI Control, and Escalation","Tests whether pricing and discount approval is controlled through clear metrics such as approval turnaround, average discount, and margin at approval, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-05-01,WF-D03-05,Process Design and Ownership,"Tests whether stakeholder access has a documented end-to-end design covering stakeholder mapping, engagement rules, and criteria for multi-threading deals, with clear ownership, decision rights, and handoff rules.",1
ST-D03-05-02,WF-D03-05,Execution Discipline and Service Quality,"Tests whether stakeholder access operates consistently in practice and whether teams access economic, technical, and user stakeholders early enough to reduce deal risk without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-05-03,WF-D03-05,"Visibility, KPI Control, and Escalation","Tests whether stakeholder access is controlled through clear metrics such as multi-threaded deal rate, win rate with decision-maker access, and late-stage loss reasons, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-06-01,WF-D03-06,Process Design and Ownership,"Tests whether follow-up management has a documented end-to-end design covering sales stage criteria, required evidence, approval rules, and next-step standards, with clear ownership, decision rights, and handoff rules.",1
ST-D03-06-02,WF-D03-06,Execution Discipline and Service Quality,"Tests whether follow-up management operates consistently in practice and whether opportunities progress based on evidence and disciplined follow-up rather than optimism without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-06-03,WF-D03-06,"Visibility, KPI Control, and Escalation","Tests whether follow-up management is controlled through clear metrics such as stage conversion, sales cycle length, and forecast accuracy, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-07-01,WF-D03-07,Process Design and Ownership,"Tests whether deal review cadence has a documented end-to-end design covering meeting purpose, inputs, outputs, participants, and escalation rules, with clear ownership, decision rights, and handoff rules.",1
ST-D03-07-02,WF-D03-07,Execution Discipline and Service Quality,"Tests whether deal review cadence operates consistently in practice and whether management reviews happen consistently, decisions are recorded, and actions are followed through without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-07-03,WF-D03-07,"Visibility, KPI Control, and Escalation","Tests whether deal review cadence is controlled through clear metrics such as meeting adherence, action closure rate, and decision turnaround time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-08-01,WF-D03-08,Process Design and Ownership,"Tests whether closing process has a documented end-to-end design covering close-plan steps, legal/procurement approvals, signature flow, and internal readiness rules, with clear ownership, decision rights, and handoff rules.",1
ST-D03-08-02,WF-D03-08,Execution Discipline and Service Quality,"Tests whether closing process operates consistently in practice and whether late-stage deals close without avoidable procurement, legal, or internal blockers without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-08-03,WF-D03-08,"Visibility, KPI Control, and Escalation","Tests whether closing process is controlled through clear metrics such as close-plan completion, late-stage slip rate, and signature turnaround, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-01-01,WF-D04-01,Process Design and Ownership,"Tests whether sales-to-delivery handoff has a documented end-to-end design covering handoff criteria, required fields, acceptance rules, and accountability at each side of the handoff, with clear ownership, decision rights, and handoff rules.",1
ST-D04-01-02,WF-D04-01,Execution Discipline and Service Quality,"Tests whether sales-to-delivery handoff operates consistently in practice and whether handoffs happen with full information, clear timing, and mutual acknowledgement without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-01-03,WF-D04-01,"Visibility, KPI Control, and Escalation","Tests whether sales-to-delivery handoff is controlled through clear metrics such as handoff SLA attainment, handoff rejection rate, and rework volume, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-02-01,WF-D04-02,Process Design and Ownership,"Tests whether onboarding / implementation has a documented end-to-end design covering activation plan, responsibilities, customer milestones, and readiness criteria, with clear ownership, decision rights, and handoff rules.",1
ST-D04-02-02,WF-D04-02,Execution Discipline and Service Quality,"Tests whether onboarding / implementation operates consistently in practice and whether customers move from sale to first value quickly with structured communication and task completion without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-02-03,WF-D04-02,"Visibility, KPI Control, and Escalation","Tests whether onboarding / implementation is controlled through clear metrics such as time to go-live, time to first value, and onboarding completion rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-03-01,WF-D04-03,Process Design and Ownership,"Tests whether project delivery has a documented end-to-end design covering scope, milestones, quality gates, commercial assumptions, and escalation paths, with clear ownership, decision rights, and handoff rules.",1
ST-D04-03-02,WF-D04-03,Execution Discipline and Service Quality,"Tests whether project delivery operates consistently in practice and whether work is delivered to plan with controlled scope, quality, and resourcing without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-03-03,WF-D04-03,"Visibility, KPI Control, and Escalation","Tests whether project delivery is controlled through clear metrics such as on-time delivery, budget variance, and defect/rework rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-04-01,WF-D04-04,Process Design and Ownership,"Tests whether service operations has a documented end-to-end design covering request categories, ownership, prioritization rules, and service standards, with clear ownership, decision rights, and handoff rules.",1
ST-D04-04-02,WF-D04-04,Execution Discipline and Service Quality,"Tests whether service operations operates consistently in practice and whether service work is triaged, resolved, and communicated consistently without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-04-03,WF-D04-04,"Visibility, KPI Control, and Escalation","Tests whether service operations is controlled through clear metrics such as first response time, resolution SLA attainment, and repeat incident rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-05-01,WF-D04-05,Process Design and Ownership,"Tests whether resource planning has a documented end-to-end design covering capacity assumptions, planning horizon, allocation rules, and skills visibility, with clear ownership, decision rights, and handoff rules.",1
ST-D04-05-02,WF-D04-05,Execution Discipline and Service Quality,"Tests whether resource planning operates consistently in practice and whether staffing and capacity decisions match actual demand without firefighting without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-05-03,WF-D04-05,"Visibility, KPI Control, and Escalation","Tests whether resource planning is controlled through clear metrics such as utilization, resource fill rate, and capacity forecast accuracy, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-06-01,WF-D04-06,Process Design and Ownership,"Tests whether sla management has a documented end-to-end design covering service commitments, measurement rules, ownership, and recovery actions, with clear ownership, decision rights, and handoff rules.",1
ST-D04-06-02,WF-D04-06,Execution Discipline and Service Quality,"Tests whether sla management operates consistently in practice and whether service commitments are met consistently and misses are acted on early without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-06-03,WF-D04-06,"Visibility, KPI Control, and Escalation","Tests whether sla management is controlled through clear metrics such as SLA attainment, breach volume, and time to recover, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-07-01,WF-D04-07,Process Design and Ownership,"Tests whether quality assurance has a documented end-to-end design covering quality standards, review checkpoints, defect rules, and release/approval criteria, with clear ownership, decision rights, and handoff rules.",1
ST-D04-07-02,WF-D04-07,Execution Discipline and Service Quality,"Tests whether quality assurance operates consistently in practice and whether quality is checked before errors reach customers, billing, or downstream teams without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-07-03,WF-D04-07,"Visibility, KPI Control, and Escalation","Tests whether quality assurance is controlled through clear metrics such as defect rate, rework rate, and escaped defects, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D04-08-01,WF-D04-08,Process Design and Ownership,"Tests whether change and scope control has a documented end-to-end design covering change request criteria, approval rights, pricing impact rules, and communication standards, with clear ownership, decision rights, and handoff rules.",1
ST-D04-08-02,WF-D04-08,Execution Discipline and Service Quality,"Tests whether change and scope control operates consistently in practice and whether scope changes are evaluated and approved before work proceeds without avoidable delay, rework, or dependency on individual heroics.",2
ST-D04-08-03,WF-D04-08,"Visibility, KPI Control, and Escalation","Tests whether change and scope control is controlled through clear metrics such as approved change rate, unbilled change value, and scope variance, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-01-01,WF-D05-01,Process Design and Ownership,"Tests whether billable event definition has a documented end-to-end design covering what counts as billable, the trigger point, required evidence, and owner responsibility, with clear ownership, decision rights, and handoff rules.",1
ST-D05-01-02,WF-D05-01,Execution Discipline and Service Quality,"Tests whether billable event definition operates consistently in practice and whether teams recognize billable events consistently and pass them into billing without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-01-03,WF-D05-01,"Visibility, KPI Control, and Escalation","Tests whether billable event definition is controlled through clear metrics such as billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-02-01,WF-D05-02,Process Design and Ownership,"Tests whether delivery-to-billing trigger has a documented end-to-end design covering what counts as billable, the trigger point, required evidence, and owner responsibility, with clear ownership, decision rights, and handoff rules.",1
ST-D05-02-02,WF-D05-02,Execution Discipline and Service Quality,"Tests whether delivery-to-billing trigger operates consistently in practice and whether teams recognize billable events consistently and pass them into billing without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-02-03,WF-D05-02,"Visibility, KPI Control, and Escalation","Tests whether delivery-to-billing trigger is controlled through clear metrics such as billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-03-01,WF-D05-03,Process Design and Ownership,"Tests whether usage / timesheet capture has a documented end-to-end design covering capture rules, approval steps, unit definitions, and timing expectations, with clear ownership, decision rights, and handoff rules.",1
ST-D05-03-02,WF-D05-03,Execution Discipline and Service Quality,"Tests whether usage / timesheet capture operates consistently in practice and whether all billable usage, time, and units are recorded accurately before invoicing without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-03-03,WF-D05-03,"Visibility, KPI Control, and Escalation","Tests whether usage / timesheet capture is controlled through clear metrics such as timesheet compliance, usage capture completeness, and late-entry rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-04-01,WF-D05-04,Process Design and Ownership,"Tests whether billing setup has a documented end-to-end design covering customer master, tax, contract, price, billing frequency, and invoice instructions, with clear ownership, decision rights, and handoff rules.",1
ST-D05-04-02,WF-D05-04,Execution Discipline and Service Quality,"Tests whether billing setup operates consistently in practice and whether billing setup is complete and correct before billing begins or changes are applied without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-04-03,WF-D05-04,"Visibility, KPI Control, and Escalation","Tests whether billing setup is controlled through clear metrics such as setup accuracy, invoice failure rate, and setup turnaround time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-05-01,WF-D05-05,Process Design and Ownership,"Tests whether invoice generation has a documented end-to-end design covering invoice run logic, exception handling, approvals, and issue resolution rules, with clear ownership, decision rights, and handoff rules.",1
ST-D05-05-02,WF-D05-05,Execution Discipline and Service Quality,"Tests whether invoice generation operates consistently in practice and whether invoices are produced on schedule and align to approved commercial and delivery data without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-05-03,WF-D05-05,"Visibility, KPI Control, and Escalation","Tests whether invoice generation is controlled through clear metrics such as invoice-on-time rate, invoice error rate, and billing throughput, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-06-01,WF-D05-06,Process Design and Ownership,"Tests whether invoice review and release has a documented end-to-end design covering invoice run logic, exception handling, approvals, and issue resolution rules, with clear ownership, decision rights, and handoff rules.",1
ST-D05-06-02,WF-D05-06,Execution Discipline and Service Quality,"Tests whether invoice review and release operates consistently in practice and whether invoices are produced on schedule and align to approved commercial and delivery data without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-06-03,WF-D05-06,"Visibility, KPI Control, and Escalation","Tests whether invoice review and release is controlled through clear metrics such as invoice-on-time rate, invoice error rate, and billing throughput, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-07-01,WF-D05-07,Process Design and Ownership,"Tests whether credit note management has a documented end-to-end design covering credit/dispute reasons, approval rights, turnaround rules, and root-cause ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D05-07-02,WF-D05-07,Execution Discipline and Service Quality,"Tests whether credit note management operates consistently in practice and whether credits and billing disputes are resolved quickly without uncontrolled value leakage without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-07-03,WF-D05-07,"Visibility, KPI Control, and Escalation","Tests whether credit note management is controlled through clear metrics such as credit note value, dispute aging, and repeat dispute rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D05-08-01,WF-D05-08,Process Design and Ownership,"Tests whether billing dispute handling has a documented end-to-end design covering credit/dispute reasons, approval rights, turnaround rules, and root-cause ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D05-08-02,WF-D05-08,Execution Discipline and Service Quality,"Tests whether billing dispute handling operates consistently in practice and whether credits and billing disputes are resolved quickly without uncontrolled value leakage without avoidable delay, rework, or dependency on individual heroics.",2
ST-D05-08-03,WF-D05-08,"Visibility, KPI Control, and Escalation","Tests whether billing dispute handling is controlled through clear metrics such as credit note value, dispute aging, and repeat dispute rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-01-01,WF-D06-01,Process Design and Ownership,"Tests whether credit control has a documented end-to-end design covering credit checks, limit setting, review triggers, and authority to approve exceptions, with clear ownership, decision rights, and handoff rules.",1
ST-D06-01-02,WF-D06-01,Execution Discipline and Service Quality,"Tests whether credit control operates consistently in practice and whether credit exposure is assessed before risk builds and actions are taken when signals worsen without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-01-03,WF-D06-01,"Visibility, KPI Control, and Escalation","Tests whether credit control is controlled through clear metrics such as over-limit exposure, high-risk debtor balance, and credit-review completion, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-02-01,WF-D06-02,Process Design and Ownership,"Tests whether payment terms setup has a documented end-to-end design covering approved payment terms, exception rules, contract language, and system setup ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D06-02-02,WF-D06-02,Execution Discipline and Service Quality,"Tests whether payment terms setup operates consistently in practice and whether terms are negotiated and captured correctly the first time without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-02-03,WF-D06-02,"Visibility, KPI Control, and Escalation","Tests whether payment terms setup is controlled through clear metrics such as average payment terms, terms exception rate, and cash-conversion impact, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-03-01,WF-D06-03,Process Design and Ownership,"Tests whether collections follow-up has a documented end-to-end design covering contact strategy, cadence, escalation thresholds, and ownership by segment/risk, with clear ownership, decision rights, and handoff rules.",1
ST-D06-03-02,WF-D06-03,Execution Discipline and Service Quality,"Tests whether collections follow-up operates consistently in practice and whether overdue accounts are followed up consistently and escalated on time without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-03-03,WF-D06-03,"Visibility, KPI Control, and Escalation","Tests whether collections follow-up is controlled through clear metrics such as DSO, collections effectiveness index, and promise-to-pay kept rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-04-01,WF-D06-04,Process Design and Ownership,"Tests whether dispute resolution has a documented end-to-end design covering case ownership, cross-functional resolution path, reason codes, and target turnaround, with clear ownership, decision rights, and handoff rules.",1
ST-D06-04-02,WF-D06-04,Execution Discipline and Service Quality,"Tests whether dispute resolution operates consistently in practice and whether payment disputes are resolved with urgency and clear accountability without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-04-03,WF-D06-04,"Visibility, KPI Control, and Escalation","Tests whether dispute resolution is controlled through clear metrics such as dispute aging, resolved disputes per period, and cash blocked by dispute, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-05-01,WF-D06-05,Process Design and Ownership,"Tests whether escalation management has a documented end-to-end design covering contact strategy, cadence, escalation thresholds, and ownership by segment/risk, with clear ownership, decision rights, and handoff rules.",1
ST-D06-05-02,WF-D06-05,Execution Discipline and Service Quality,"Tests whether escalation management operates consistently in practice and whether overdue accounts are followed up consistently and escalated on time without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-05-03,WF-D06-05,"Visibility, KPI Control, and Escalation","Tests whether escalation management is controlled through clear metrics such as DSO, collections effectiveness index, and promise-to-pay kept rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D06-06-01,WF-D06-06,Process Design and Ownership,"Tests whether bad debt review has a documented end-to-end design covering write-off criteria, provision review, escalation rights, and feedback loop to prevention, with clear ownership, decision rights, and handoff rules.",1
ST-D06-06-02,WF-D06-06,Execution Discipline and Service Quality,"Tests whether bad debt review operates consistently in practice and whether bad debt decisions are timely, evidence-based, and linked to upstream corrective action without avoidable delay, rework, or dependency on individual heroics.",2
ST-D06-06-03,WF-D06-06,"Visibility, KPI Control, and Escalation","Tests whether bad debt review is controlled through clear metrics such as bad debt rate, recovery rate, and write-off aging, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-01-01,WF-D07-01,Process Design and Ownership,"Tests whether customer onboarding success has a documented end-to-end design covering activation plan, responsibilities, customer milestones, and readiness criteria, with clear ownership, decision rights, and handoff rules.",1
ST-D07-01-02,WF-D07-01,Execution Discipline and Service Quality,"Tests whether customer onboarding success operates consistently in practice and whether customers move from sale to first value quickly with structured communication and task completion without avoidable delay, rework, or dependency on individual heroics.",2
