transformation_id,recommendation_id,transformation_type,transformation_title,transformation_text,system_dependency,data_dependency,readiness_level,typical_use_case,advanced_intelligence_option
TRN-D01-04-02,REC-D01-04-02,Automation,Workflow automation for Pricing Model Design,"Use workflow automation to reduce delay-prone manual steps in pricing model design, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include rule-based pricing approvals and quote controls.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,rule-based pricing approvals and quote controls,recommended pricing ranges based on win/loss and margin patterns
TRN-D01-04-03,REC-D01-04-03,Automation,"Control, alerting, and intelligence for Pricing Model Design","Use dashboards, alerts, and selective intelligence to improve control over pricing model design. Typical opportunities include rule-based pricing approvals and quote controls, with higher-value intelligence layers such as recommended pricing ranges based on win/loss and margin patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,rule-based pricing approvals and quote controls,recommended pricing ranges based on win/loss and margin patterns
TRN-D01-05-01,REC-D01-05-01,Process,Process blueprint for Accountability and Ownership,"Before automation is layered on, create a stable process blueprint for accountability and ownership with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,owner assignment and escalation triggers,analysis of recurring ownership bottlenecks
TRN-D01-05-02,REC-D01-05-02,Automation,Workflow automation for Accountability and Ownership,"Use workflow automation to reduce delay-prone manual steps in accountability and ownership, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include owner assignment and escalation triggers.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,owner assignment and escalation triggers,analysis of recurring ownership bottlenecks
TRN-D01-05-03,REC-D01-05-03,Automation,"Control, alerting, and intelligence for Accountability and Ownership","Use dashboards, alerts, and selective intelligence to improve control over accountability and ownership. Typical opportunities include owner assignment and escalation triggers, with higher-value intelligence layers such as analysis of recurring ownership bottlenecks once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,owner assignment and escalation triggers,analysis of recurring ownership bottlenecks
TRN-D01-06-01,REC-D01-06-01,Process,Process blueprint for Management Cadence,"Before automation is layered on, create a stable process blueprint for management cadence with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D01-06-02,REC-D01-06-02,Automation,Workflow automation for Management Cadence,"Use workflow automation to reduce delay-prone manual steps in management cadence, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include automated agenda packs and action reminders.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D01-06-03,REC-D01-06-03,Automation,"Control, alerting, and intelligence for Management Cadence","Use dashboards, alerts, and selective intelligence to improve control over management cadence. Typical opportunities include automated agenda packs and action reminders, with higher-value intelligence layers such as summary extraction and risk themes from meeting notes once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D01-07-01,REC-D01-07-01,Process,Process blueprint for Data and Reporting Setup,"Before automation is layered on, create a stable process blueprint for data and reporting setup with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D01-07-02,REC-D01-07-02,Automation,Workflow automation for Data and Reporting Setup,"Use workflow automation to reduce delay-prone manual steps in data and reporting setup, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include scheduled data refreshes and exception flags.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D01-07-03,REC-D01-07-03,Automation,"Control, alerting, and intelligence for Data and Reporting Setup","Use dashboards, alerts, and selective intelligence to improve control over data and reporting setup. Typical opportunities include scheduled data refreshes and exception flags, with higher-value intelligence layers such as narrative insights and anomaly detection on KPI movement once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D01-08-01,REC-D01-08-01,Process,Process blueprint for Systems Landscape,"Before automation is layered on, create a stable process blueprint for systems landscape with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,system-triggered handoffs and integration monitoring,detection of process friction from event logs
TRN-D01-08-02,REC-D01-08-02,Automation,Workflow automation for Systems Landscape,"Use workflow automation to reduce delay-prone manual steps in systems landscape, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include system-triggered handoffs and integration monitoring.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,system-triggered handoffs and integration monitoring,detection of process friction from event logs
TRN-D01-08-03,REC-D01-08-03,Automation,"Control, alerting, and intelligence for Systems Landscape","Use dashboards, alerts, and selective intelligence to improve control over systems landscape. Typical opportunities include system-triggered handoffs and integration monitoring, with higher-value intelligence layers such as detection of process friction from event logs once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,system-triggered handoffs and integration monitoring,detection of process friction from event logs
TRN-D02-01-01,REC-D02-01-01,Process,Process blueprint for Marketing Planning,"Before automation is layered on, create a stable process blueprint for marketing planning with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"automated planning reminders, action trackers, and exception workflows",initiative risk scoring and summary generation from review packs
TRN-D02-01-02,REC-D02-01-02,Automation,Workflow automation for Marketing Planning,"Use workflow automation to reduce delay-prone manual steps in marketing planning, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include automated planning reminders, action trackers, and exception workflows.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"automated planning reminders, action trackers, and exception workflows",initiative risk scoring and summary generation from review packs
TRN-D02-01-03,REC-D02-01-03,AI/Automation,"Control, alerting, and intelligence for Marketing Planning","Use dashboards, alerts, and selective intelligence to improve control over marketing planning. Typical opportunities include automated planning reminders, action trackers, and exception workflows, with higher-value intelligence layers such as initiative risk scoring and summary generation from review packs once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"automated planning reminders, action trackers, and exception workflows",initiative risk scoring and summary generation from review packs
TRN-D02-02-01,REC-D02-02-01,Process,Process blueprint for Campaign Execution,"Before automation is layered on, create a stable process blueprint for campaign execution with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,campaign workflow automation and lead nurture triggers,content/campaign performance summarization and targeting suggestions
TRN-D02-02-02,REC-D02-02-02,Automation,Workflow automation for Campaign Execution,"Use workflow automation to reduce delay-prone manual steps in campaign execution, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include campaign workflow automation and lead nurture triggers.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,campaign workflow automation and lead nurture triggers,content/campaign performance summarization and targeting suggestions
TRN-D02-02-03,REC-D02-02-03,AI/Automation,"Control, alerting, and intelligence for Campaign Execution","Use dashboards, alerts, and selective intelligence to improve control over campaign execution. Typical opportunities include campaign workflow automation and lead nurture triggers, with higher-value intelligence layers such as content/campaign performance summarization and targeting suggestions once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,campaign workflow automation and lead nurture triggers,content/campaign performance summarization and targeting suggestions
TRN-D02-03-01,REC-D02-03-01,Process,Process blueprint for Inbound Capture,"Before automation is layered on, create a stable process blueprint for inbound capture with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"auto-enrichment, deduplication, and instant routing",lead intent triage and priority scoring
TRN-D02-03-02,REC-D02-03-02,Automation,Workflow automation for Inbound Capture,"Use workflow automation to reduce delay-prone manual steps in inbound capture, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include auto-enrichment, deduplication, and instant routing.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"auto-enrichment, deduplication, and instant routing",lead intent triage and priority scoring
TRN-D02-03-03,REC-D02-03-03,AI/Automation,"Control, alerting, and intelligence for Inbound Capture","Use dashboards, alerts, and selective intelligence to improve control over inbound capture. Typical opportunities include auto-enrichment, deduplication, and instant routing, with higher-value intelligence layers such as lead intent triage and priority scoring once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"auto-enrichment, deduplication, and instant routing",lead intent triage and priority scoring
TRN-D02-04-01,REC-D02-04-01,Process,Process blueprint for Outbound Prospecting,"Before automation is layered on, create a stable process blueprint for outbound prospecting with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,task sequencing and trigger-based follow-up,message personalization support and account prioritization
TRN-D02-04-02,REC-D02-04-02,Automation,Workflow automation for Outbound Prospecting,"Use workflow automation to reduce delay-prone manual steps in outbound prospecting, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include task sequencing and trigger-based follow-up.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,task sequencing and trigger-based follow-up,message personalization support and account prioritization
TRN-D02-04-03,REC-D02-04-03,AI/Automation,"Control, alerting, and intelligence for Outbound Prospecting","Use dashboards, alerts, and selective intelligence to improve control over outbound prospecting. Typical opportunities include task sequencing and trigger-based follow-up, with higher-value intelligence layers such as message personalization support and account prioritization once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,task sequencing and trigger-based follow-up,message personalization support and account prioritization
TRN-D02-05-01,REC-D02-05-01,Process,Process blueprint for Lead Qualification,"Before automation is layered on, create a stable process blueprint for lead qualification with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D02-05-02,REC-D02-05-02,Automation,Workflow automation for Lead Qualification,"Use workflow automation to reduce delay-prone manual steps in lead qualification, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include rule-based qualification checks and routing.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D02-05-03,REC-D02-05-03,AI/Automation,"Control, alerting, and intelligence for Lead Qualification","Use dashboards, alerts, and selective intelligence to improve control over lead qualification. Typical opportunities include rule-based qualification checks and routing, with higher-value intelligence layers such as lead/deal scoring from historical fit patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D02-06-01,REC-D02-06-01,Process,Process blueprint for Lead Routing and Handoff,"Before automation is layered on, create a stable process blueprint for lead routing and handoff with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"task creation, alerts, and required-field gates at handoff",quality scoring of handoff completeness
TRN-D02-06-02,REC-D02-06-02,Automation,Workflow automation for Lead Routing and Handoff,"Use workflow automation to reduce delay-prone manual steps in lead routing and handoff, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include task creation, alerts, and required-field gates at handoff.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"task creation, alerts, and required-field gates at handoff",quality scoring of handoff completeness
TRN-D02-06-03,REC-D02-06-03,AI/Automation,"Control, alerting, and intelligence for Lead Routing and Handoff","Use dashboards, alerts, and selective intelligence to improve control over lead routing and handoff. Typical opportunities include task creation, alerts, and required-field gates at handoff, with higher-value intelligence layers such as quality scoring of handoff completeness once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"task creation, alerts, and required-field gates at handoff",quality scoring of handoff completeness
TRN-D03-01-01,REC-D03-01-01,Process,Process blueprint for Discovery and Qualification,"Before automation is layered on, create a stable process blueprint for discovery and qualification with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D03-01-02,REC-D03-01-02,Automation,Workflow automation for Discovery and Qualification,"Use workflow automation to reduce delay-prone manual steps in discovery and qualification, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include rule-based qualification checks and routing.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D03-01-03,REC-D03-01-03,AI/Automation,"Control, alerting, and intelligence for Discovery and Qualification","Use dashboards, alerts, and selective intelligence to improve control over discovery and qualification. Typical opportunities include rule-based qualification checks and routing, with higher-value intelligence layers such as lead/deal scoring from historical fit patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,rule-based qualification checks and routing,lead/deal scoring from historical fit patterns
TRN-D03-02-01,REC-D03-02-01,Process,Process blueprint for Opportunity Management,"Before automation is layered on, create a stable process blueprint for opportunity management with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-02-02,REC-D03-02-02,Automation,Workflow automation for Opportunity Management,"Use workflow automation to reduce delay-prone manual steps in opportunity management, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include stage aging alerts and task nudges.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-02-03,REC-D03-02-03,AI/Automation,"Control, alerting, and intelligence for Opportunity Management","Use dashboards, alerts, and selective intelligence to improve control over opportunity management. Typical opportunities include stage aging alerts and task nudges, with higher-value intelligence layers such as deal risk scoring and forecast commentary once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-03-01,REC-D03-03-01,Process,Process blueprint for Proposal and Quoting,"Before automation is layered on, create a stable process blueprint for proposal and quoting with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"CPQ flows, template population, and approval routing",proposal draft support and competitive language suggestions
TRN-D03-03-02,REC-D03-03-02,Automation,Workflow automation for Proposal and Quoting,"Use workflow automation to reduce delay-prone manual steps in proposal and quoting, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include CPQ flows, template population, and approval routing.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"CPQ flows, template population, and approval routing",proposal draft support and competitive language suggestions
TRN-D03-03-03,REC-D03-03-03,AI/Automation,"Control, alerting, and intelligence for Proposal and Quoting","Use dashboards, alerts, and selective intelligence to improve control over proposal and quoting. Typical opportunities include CPQ flows, template population, and approval routing, with higher-value intelligence layers such as proposal draft support and competitive language suggestions once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"CPQ flows, template population, and approval routing",proposal draft support and competitive language suggestions
TRN-D03-04-01,REC-D03-04-01,Process,Process blueprint for Pricing and Discount Approval,"Before automation is layered on, create a stable process blueprint for pricing and discount approval with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,deal desk workflows and rule-based approvals,recommended escalation and pricing guardrails
TRN-D03-04-02,REC-D03-04-02,Automation,Workflow automation for Pricing and Discount Approval,"Use workflow automation to reduce delay-prone manual steps in pricing and discount approval, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include deal desk workflows and rule-based approvals.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,deal desk workflows and rule-based approvals,recommended escalation and pricing guardrails
TRN-D03-04-03,REC-D03-04-03,AI/Automation,"Control, alerting, and intelligence for Pricing and Discount Approval","Use dashboards, alerts, and selective intelligence to improve control over pricing and discount approval. Typical opportunities include deal desk workflows and rule-based approvals, with higher-value intelligence layers such as recommended escalation and pricing guardrails once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,deal desk workflows and rule-based approvals,recommended escalation and pricing guardrails
TRN-D03-05-01,REC-D03-05-01,Process,Process blueprint for Stakeholder Access,"Before automation is layered on, create a stable process blueprint for stakeholder access with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,stakeholder-task prompts and missing-role flags,stakeholder gap detection from CRM notes
TRN-D03-05-02,REC-D03-05-02,Automation,Workflow automation for Stakeholder Access,"Use workflow automation to reduce delay-prone manual steps in stakeholder access, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include stakeholder-task prompts and missing-role flags.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,stakeholder-task prompts and missing-role flags,stakeholder gap detection from CRM notes
TRN-D03-05-03,REC-D03-05-03,AI/Automation,"Control, alerting, and intelligence for Stakeholder Access","Use dashboards, alerts, and selective intelligence to improve control over stakeholder access. Typical opportunities include stakeholder-task prompts and missing-role flags, with higher-value intelligence layers such as stakeholder gap detection from CRM notes once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,stakeholder-task prompts and missing-role flags,stakeholder gap detection from CRM notes
TRN-D03-06-01,REC-D03-06-01,Process,Process blueprint for Follow-Up Management,"Before automation is layered on, create a stable process blueprint for follow-up management with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-06-02,REC-D03-06-02,Automation,Workflow automation for Follow-Up Management,"Use workflow automation to reduce delay-prone manual steps in follow-up management, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include stage aging alerts and task nudges.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-06-03,REC-D03-06-03,AI/Automation,"Control, alerting, and intelligence for Follow-Up Management","Use dashboards, alerts, and selective intelligence to improve control over follow-up management. Typical opportunities include stage aging alerts and task nudges, with higher-value intelligence layers such as deal risk scoring and forecast commentary once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,stage aging alerts and task nudges,deal risk scoring and forecast commentary
TRN-D03-07-01,REC-D03-07-01,Process,Process blueprint for Deal Review Cadence,"Before automation is layered on, create a stable process blueprint for deal review cadence with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D03-07-02,REC-D03-07-02,Automation,Workflow automation for Deal Review Cadence,"Use workflow automation to reduce delay-prone manual steps in deal review cadence, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include automated agenda packs and action reminders.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D03-07-03,REC-D03-07-03,AI/Automation,"Control, alerting, and intelligence for Deal Review Cadence","Use dashboards, alerts, and selective intelligence to improve control over deal review cadence. Typical opportunities include automated agenda packs and action reminders, with higher-value intelligence layers such as summary extraction and risk themes from meeting notes once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,automated agenda packs and action reminders,summary extraction and risk themes from meeting notes
TRN-D03-08-01,REC-D03-08-01,Process,Process blueprint for Closing Process,"Before automation is layered on, create a stable process blueprint for closing process with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"contract routing, signature workflows, and status alerts",summaries of unresolved commercial blockers
TRN-D03-08-02,REC-D03-08-02,Automation,Workflow automation for Closing Process,"Use workflow automation to reduce delay-prone manual steps in closing process, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include contract routing, signature workflows, and status alerts.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"contract routing, signature workflows, and status alerts",summaries of unresolved commercial blockers
TRN-D03-08-03,REC-D03-08-03,AI/Automation,"Control, alerting, and intelligence for Closing Process","Use dashboards, alerts, and selective intelligence to improve control over closing process. Typical opportunities include contract routing, signature workflows, and status alerts, with higher-value intelligence layers such as summaries of unresolved commercial blockers once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"contract routing, signature workflows, and status alerts",summaries of unresolved commercial blockers
