recommendation_id,issue_type,recommendation_title,recommendation_text,recommendation_type,linked_driver,linked_metric,why_this_matters,expected_outcome,advisory_note
REC-D01-04-02,inconsistent_workflow_execution,Stabilize execution of Pricing Model Design,"Stabilize day-to-day execution of pricing model design by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Pricing Architecture,Pricing / Discount Leakage,This matters because weak control over pricing model design directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,"More predictable execution of pricing model design with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in pricing model design, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Pricing Model Design,"Establish a management-control layer for pricing model design with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect pricing / discount leakage.","Control, Reporting, and Exception Management",Pricing Architecture,Pricing / Discount Leakage,This matters because weak control over pricing model design directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,Earlier visibility into issues within pricing model design and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over pricing model design, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-05-01,unclear_workflow_definition,Design and standardize Accountability and Ownership,"Redesign accountability and ownership as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that teams know who decides, who executes, and who is accountable for operational outcomes rather than depending on informal practice.",Process Design and Standardisation,Decision Accountability,Cross-Metric / Multiple,This matters because weak control over accountability and ownership directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,A documented and owned standard for accountability and ownership that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for accountability and ownership."
REC-D01-05-02,inconsistent_workflow_execution,Stabilize execution of Accountability and Ownership,"Stabilize day-to-day execution of accountability and ownership by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Decision Accountability,Cross-Metric / Multiple,This matters because weak control over accountability and ownership directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,"More predictable execution of accountability and ownership with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in accountability and ownership, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Accountability and Ownership,"Establish a management-control layer for accountability and ownership with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect cross-metric / multiple.","Control, Reporting, and Exception Management",Decision Accountability,Cross-Metric / Multiple,This matters because weak control over accountability and ownership directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,Earlier visibility into issues within accountability and ownership and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over accountability and ownership, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-06-01,unclear_workflow_definition,Design and standardize Management Cadence,"Redesign management cadence as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that leaders review performance, risk, and execution at the right rhythm and close actions quickly rather than depending on informal practice.",Process Design and Standardisation,Management Rhythm,Cross-Metric / Multiple,This matters because weak control over management cadence directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,A documented and owned standard for management cadence that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for management cadence."
REC-D01-06-02,inconsistent_workflow_execution,Stabilize execution of Management Cadence,"Stabilize day-to-day execution of management cadence by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Management Rhythm,Cross-Metric / Multiple,This matters because weak control over management cadence directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,"More predictable execution of management cadence with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in management cadence, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-06-03,weak_workflow_visibility_and_control,Introduce KPI control for Management Cadence,"Establish a management-control layer for management cadence with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect cross-metric / multiple.","Control, Reporting, and Exception Management",Management Rhythm,Cross-Metric / Multiple,This matters because weak control over management cadence directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,Earlier visibility into issues within management cadence and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over management cadence, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-07-01,unclear_workflow_definition,Design and standardize Data and Reporting Setup,"Redesign data and reporting setup as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that management decisions are supported by trusted definitions, reliable reporting, and KPI ownership rather than depending on informal practice.",Process Design and Standardisation,Reporting Visibility,Cross-Metric / Multiple,This matters because weak control over data and reporting setup directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,A documented and owned standard for data and reporting setup that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for data and reporting setup."
REC-D01-07-02,inconsistent_workflow_execution,Stabilize execution of Data and Reporting Setup,"Stabilize day-to-day execution of data and reporting setup by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Reporting Visibility,Cross-Metric / Multiple,This matters because weak control over data and reporting setup directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,"More predictable execution of data and reporting setup with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in data and reporting setup, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-07-03,weak_workflow_visibility_and_control,Introduce KPI control for Data and Reporting Setup,"Establish a management-control layer for data and reporting setup with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect cross-metric / multiple.","Control, Reporting, and Exception Management",Reporting Visibility,Cross-Metric / Multiple,This matters because weak control over data and reporting setup directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,Earlier visibility into issues within data and reporting setup and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over data and reporting setup, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-08-01,unclear_workflow_definition,Design and standardize Systems Landscape,"Redesign systems landscape as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that core systems support the operating model with minimal duplicate entry, manual workarounds, or integration gaps rather than depending on informal practice.",Process Design and Standardisation,System Fit,Cross-Metric / Multiple,This matters because weak control over systems landscape directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,A documented and owned standard for systems landscape that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for systems landscape."
REC-D01-08-02,inconsistent_workflow_execution,Stabilize execution of Systems Landscape,"Stabilize day-to-day execution of systems landscape by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,System Fit,Cross-Metric / Multiple,This matters because weak control over systems landscape directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,"More predictable execution of systems landscape with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in systems landscape, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-08-03,weak_workflow_visibility_and_control,Introduce KPI control for Systems Landscape,"Establish a management-control layer for systems landscape with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect cross-metric / multiple.","Control, Reporting, and Exception Management",System Fit,Cross-Metric / Multiple,This matters because weak control over systems landscape directly increases the risk of cross-metric / multiple and reduces management confidence in performance.,Earlier visibility into issues within systems landscape and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over systems landscape, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-01-01,unclear_workflow_definition,Design and standardize Marketing Planning,"Redesign marketing planning as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that marketing activity is aligned to targets, segments, budget, channels, and campaign objectives rather than depending on informal practice.",Process Design and Standardisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over marketing planning directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for marketing planning that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for marketing planning."
REC-D02-01-02,inconsistent_workflow_execution,Stabilize execution of Marketing Planning,"Stabilize day-to-day execution of marketing planning by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over marketing planning directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of marketing planning with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in marketing planning, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Marketing Planning,"Establish a management-control layer for marketing planning with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over marketing planning directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within marketing planning and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over marketing planning, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-02-01,unclear_workflow_definition,Design and standardize Campaign Execution,"Redesign campaign execution as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that campaigns launch on time, follow standards, and generate measurable qualified response rather than depending on informal practice.",Process Design and Standardisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over campaign execution directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for campaign execution that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for campaign execution."
REC-D02-02-02,inconsistent_workflow_execution,Stabilize execution of Campaign Execution,"Stabilize day-to-day execution of campaign execution by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over campaign execution directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of campaign execution with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in campaign execution, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Campaign Execution,"Establish a management-control layer for campaign execution with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over campaign execution directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within campaign execution and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over campaign execution, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-03-01,unclear_workflow_definition,Design and standardize Inbound Capture,"Redesign inbound capture as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that all inbound enquiries and conversions are captured completely and routed quickly rather than depending on informal practice.",Process Design and Standardisation,Response Speed,Qualified Lead Volume Leakage,This matters because weak control over inbound capture directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for inbound capture that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for inbound capture."
REC-D02-03-02,inconsistent_workflow_execution,Stabilize execution of Inbound Capture,"Stabilize day-to-day execution of inbound capture by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Response Speed,Qualified Lead Volume Leakage,This matters because weak control over inbound capture directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of inbound capture with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in inbound capture, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Inbound Capture,"Establish a management-control layer for inbound capture with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Response Speed,Qualified Lead Volume Leakage,This matters because weak control over inbound capture directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within inbound capture and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over inbound capture, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-04-01,unclear_workflow_definition,Design and standardize Outbound Prospecting,"Redesign outbound prospecting as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that outbound activity targets the right accounts with consistent messaging and follow-up rather than depending on informal practice.",Process Design and Standardisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over outbound prospecting directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for outbound prospecting that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for outbound prospecting."
REC-D02-04-02,inconsistent_workflow_execution,Stabilize execution of Outbound Prospecting,"Stabilize day-to-day execution of outbound prospecting by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over outbound prospecting directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of outbound prospecting with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in outbound prospecting, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Outbound Prospecting,"Establish a management-control layer for outbound prospecting with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Marketing Reach,Qualified Lead Volume Leakage,This matters because weak control over outbound prospecting directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within outbound prospecting and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over outbound prospecting, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-05-01,unclear_workflow_definition,Design and standardize Lead Qualification,"Redesign lead qualification as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that sales only receives leads that meet defined fit, need, and readiness criteria rather than depending on informal practice.",Process Design and Standardisation,Qualified Lead Rate,Qualified Lead Volume Leakage,This matters because weak control over lead qualification directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for lead qualification that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for lead qualification."
REC-D02-05-02,inconsistent_workflow_execution,Stabilize execution of Lead Qualification,"Stabilize day-to-day execution of lead qualification by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Qualified Lead Rate,Qualified Lead Volume Leakage,This matters because weak control over lead qualification directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of lead qualification with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in lead qualification, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Lead Qualification,"Establish a management-control layer for lead qualification with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Qualified Lead Rate,Qualified Lead Volume Leakage,This matters because weak control over lead qualification directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within lead qualification and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over lead qualification, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D02-06-01,unclear_workflow_definition,Design and standardize Lead Routing and Handoff,"Redesign lead routing and handoff as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that qualified leads reach the right owner quickly with full context and SLA responsibility rather than depending on informal practice.",Process Design and Standardisation,Response Speed,Qualified Lead Volume Leakage,This matters because weak control over lead routing and handoff directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,A documented and owned standard for lead routing and handoff that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for lead routing and handoff."
REC-D02-06-02,inconsistent_workflow_execution,Stabilize execution of Lead Routing and Handoff,"Stabilize day-to-day execution of lead routing and handoff by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Response Speed,Qualified Lead Volume Leakage,This matters because weak control over lead routing and handoff directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,"More predictable execution of lead routing and handoff with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in lead routing and handoff, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D02-06-03,weak_workflow_visibility_and_control,Introduce KPI control for Lead Routing and Handoff,"Establish a management-control layer for lead routing and handoff with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead volume leakage.","Control, Reporting, and Exception Management",Response Speed,Qualified Lead Volume Leakage,This matters because weak control over lead routing and handoff directly increases the risk of qualified lead volume leakage and reduces management confidence in performance.,Earlier visibility into issues within lead routing and handoff and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over lead routing and handoff, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-01-01,unclear_workflow_definition,Design and standardize Discovery and Qualification,"Redesign discovery and qualification as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that opportunities are validated for pain, fit, authority, urgency, and commercial viability rather than depending on informal practice.",Process Design and Standardisation,Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over discovery and qualification directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for discovery and qualification that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for discovery and qualification."
REC-D03-01-02,inconsistent_workflow_execution,Stabilize execution of Discovery and Qualification,"Stabilize day-to-day execution of discovery and qualification by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over discovery and qualification directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of discovery and qualification with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in discovery and qualification, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Discovery and Qualification,"Establish a management-control layer for discovery and qualification with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over discovery and qualification directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within discovery and qualification and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over discovery and qualification, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-02-01,unclear_workflow_definition,Design and standardize Opportunity Management,"Redesign opportunity management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that opportunities move through the pipeline based on evidence, not optimism rather than depending on informal practice.",Process Design and Standardisation,Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over opportunity management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for opportunity management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for opportunity management."
REC-D03-02-02,inconsistent_workflow_execution,Stabilize execution of Opportunity Management,"Stabilize day-to-day execution of opportunity management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over opportunity management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of opportunity management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in opportunity management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Opportunity Management,"Establish a management-control layer for opportunity management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over opportunity management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within opportunity management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over opportunity management, including metric definitions, review cadence, escalation, and closure of corrective actions."
