Appendix — 31_lib_questions,,,,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,,,,
,,,,,,,,,,
question_id,domain_id,question_text,question_guidance,evidence_examples,scoring_1_desc,scoring_2_desc,scoring_3_desc,scoring_4_desc,scoring_5_desc,question_order
AIR-Q011,AIR-D02,Are target workflows high enough in volume or business importance to justify AI?,"Evaluate whether the workflow matters enough in terms of transaction volume, labor intensity, customer impact, cost of delay, or revenue consequence to justify intervention.",ticket volumes; turnaround data; SLA breaches; proposal counts; labor time analysis,"Selected workflows are too small, too rare, or too low-value to justify AI.","The relevance is mostly anecdotal, with limited evidence of business importance.","The workflow has moderate value or volume, but the commercial case is not yet strong.","The workflow is materially important by volume, labor burden, or business impact.","The workflow is a high-impact candidate with quantified volume, pain, and value potential.",3
AIR-Q012,AIR-D02,Are the pain points within target workflows clearly understood?,"Check whether the current pain is defined precisely—such as rework, slow turnaround, missed follow-up, inconsistent answers, backlog growth, or supervisor dependency.",root-cause analysis; issue logs; escalation themes; workshop notes; quality reviews,"Pain points are vague or assumed, with no real understanding of the problem.","Teams describe frustration, but not the exact failure points in the workflow.","Some pain points are known, though root causes and impact are not consistently mapped.",The main pain points and their operational effects are clearly understood.,"Pain points are mapped to workflow stages, root causes, and measurable business impact.",4
AIR-Q013,AIR-D02,Are target workflows documented well enough to redesign?,"Review whether the workflow is documented at a level that shows actors, sequence, systems used, decisions, handoffs, inputs, outputs, and exception paths.",process map; SOP; swimlane; desk procedure; workflow screenshot pack,The workflow is undocumented or only known informally.,"Only fragments of the workflow are documented, leaving major gaps.","Core steps are documented, but handoffs, decisions, or exceptions are incomplete.",The workflow is documented well enough to redesign and test an AI intervention.,"An end-to-end workflow view exists with roles, systems, handoffs, decisions, inputs, outputs, and exceptions.",5
AIR-Q014,AIR-D02,Are target workflows stable and repeatable rather than chaotic?,"Assess whether the workflow follows a stable pattern often enough for AI to perform consistently, even if some exceptions exist.",variation analysis; supervisor interviews; case samples; quality audits,The workflow changes case by case and is too chaotic for consistent AI use.,There are frequent variations and workarounds that would make AI unreliable.,"The workflow has a repeatable core, but variation is still material.","The workflow is mostly stable, with exceptions that can be managed.",The workflow has a strong repeatable pattern and a well-understood exception profile.,6
AIR-Q015,AIR-D02,Has the business identified where basic automation is enough and AI is unnecessary?,"Look for evidence that the business has screened out tasks that should be handled through forms, rules, routing, templates, or workflow automation instead of AI.",automation backlog; redesign workshop notes; solution options analysis,The business is trying to use AI for tasks that are basic automation or process design issues.,There is little discipline in deciding when AI is unnecessary.,"Some automation-only opportunities are recognized, but the distinction is incomplete.",The business usually separates automation candidates from AI candidates correctly.,"The solution selection process consistently reserves AI for tasks that require interpretation, generation, retrieval, or prediction.",7
AIR-Q016,AIR-D02,Are there clear human review points in workflows where AI may be introduced?,"Confirm where human review sits in the workflow: who checks the output, at what stage, under what risk conditions, and what happens when the AI result is wrong or uncertain.",approval matrix; SOP; QA checklist; escalation flow,No human review points have been defined.,"Review is assumed, but no owner, trigger, or method is clear.","Some review points exist, but they are inconsistent or incomplete.",Human review is designed for the main workflows and risk points.,"Clear human-in-the-loop controls specify owners, triggers, escalation paths, and override rules.",8
AIR-Q017,AIR-D03,Is the data required for priority AI use cases already captured?,"Check whether the data inputs needed for the chosen use cases already exist in usable form, including structured fields, documents, tickets, call transcripts, or knowledge assets.",data inventory; source system extracts; document repositories; transcript sources,The core data needed for the priority use cases is not being captured.,"Some relevant data exists, but major required inputs are missing or unavailable.","Most core inputs exist, though there are notable gaps or workarounds.",The main inputs required for the priority use cases are available.,The full set of core structured and unstructured inputs is already captured for priority use cases.,1
AIR-Q018,AIR-D03,Is business data stored in accessible systems rather than scattered informally?,"Assess whether data lives in systems that can be queried, exported, or connected, rather than in personal inboxes, local files, or uncontrolled shared folders.",system screenshots; shared drive structure; inbox dependency review; data access map,Important data is mostly trapped in personal or informal locations.,"Data is highly fragmented across files, inboxes, and isolated folders.",There is a mix of system-based storage and informal storage that creates friction.,Most important data is stored in accessible business systems or managed repositories.,"Core business data is centrally stored, accessible, and operationally retrievable.",2
AIR-Q019,AIR-D03,Are key data fields standardized across systems or teams?,"Review whether the same business fields—such as customer status, lead source, ticket category, product code, or job stage—mean the same thing across teams and systems.",data dictionary; field mapping; CRM configuration; reporting definitions,Critical fields are inconsistent or undefined across teams and systems.,"Some fields are standardized, but major differences still create ambiguity.","Core fields are partly standardized, though important inconsistencies remain.",Most critical fields use consistent definitions and structures.,"Key fields are standardized, governed, and consistently used across systems and teams.",3
AIR-Q020,AIR-D03,Is data quality sufficient for reliable AI outputs?,"Assess whether duplicates, missing values, stale records, misclassification, and poor document hygiene would materially degrade AI output quality.",data quality audit; exception report; duplicate analysis; sample record review,Data quality is poor enough to make AI outputs unreliable.,Data quality issues are frequent and unresolved in key datasets.,"Quality is acceptable in parts, but important gaps would still affect pilots.","Data quality is generally good for the priority use cases, with manageable issues.",Data quality is actively controlled and strong enough to support reliable AI outputs.,4
AIR-Q021,AIR-D03,Is there enough historical data depth for the intended use cases?,"Check whether enough historical depth exists to support the intended use case, especially for trend analysis, forecasting, retrieval quality, pattern detection, or performance comparison.",historic exports; archive depth review; reporting history; retention policy,There is not enough history to support the intended use cases.,Historical depth is very limited or patchy across key datasets.,"Some history exists, but depth is uneven or insufficient for certain use cases.",Historical data depth is adequate for the main use cases under consideration.,Strong historical depth exists across the main datasets needed for pilot and scale use cases.,5
AIR-Q022,AIR-D03,Are unstructured knowledge sources organized and searchable?,"Review whether policies, SOPs, FAQs, product information, case notes, and other unstructured content are organised, current, and searchable enough for retrieval-based AI.",knowledge base; SharePoint structure; SOP library; FAQ repository; document taxonomy,"Unstructured knowledge is disorganized, outdated, or largely unusable.","Some useful content exists, but it is hard to find, duplicated, or poorly maintained.","Key content is partly organized, though gaps in structure or freshness remain.",Most important knowledge assets are organised and searchable for pilot use.,"Knowledge assets are curated, current, tagged or structured, and ready for retrieval-based AI.",6
AIR-Q023,AIR-D03,Are data owners defined for critical datasets?,"Confirm whether named owners are responsible for data quality, definitions, access, and remediation for the datasets that matter to the AI use cases.",RACI matrix; data owner register; role descriptions; stewardship model,No one is clearly accountable for critical datasets.,Ownership is informal and depends on individual goodwill.,"Some important datasets have owners, but accountability is incomplete.",Most critical datasets have defined owners with practical responsibility.,"All priority datasets have clear owners responsible for quality, access, and definition control.",7
AIR-Q024,AIR-D03,"Is there a reliable source of truth for customer, operational, or financial data?","Assess whether the business has a trusted primary source for customer, operational, and financial facts rather than competing spreadsheets or conflicting reports.",source-of-truth map; BI model; finance reporting logic; master data register,There is no trusted source of truth for critical business data.,Multiple conflicting versions of the same data are used across teams.,"A partial source-of-truth model exists, but some important areas still conflict.",Trusted primary sources exist for most critical business data.,The organisation uses clearly defined and widely accepted sources of truth across key domains.,8
AIR-Q025,AIR-D04,Are the core business systems documented and understood?,"Confirm whether the business can list its core systems, what each one does, which workflows depend on them, who administers them, and where major data lives.",application inventory; architecture diagram; admin list; workflow-system map,The core system landscape is not documented or understood.,"Only a partial view of the environment exists, with major blind spots.","Most major systems are known, but workflow role, ownership, or dependencies are incomplete.",Core systems are documented well enough to support pilot planning.,"A maintained system inventory shows purpose, ownership, data role, and workflow dependencies.",1
AIR-Q026,AIR-D04,Do key systems support integration methods needed for AI deployment?,"Assess whether the relevant systems expose APIs, webhooks, integration connectors, secure exports, or workflow tooling needed to move data and actions into or out of AI services.",vendor docs; API references; middleware catalogue; admin settings; integration review,Key systems offer no practical integration method for the target use cases.,Integration options are highly limited or restricted in the systems that matter most.,"Some required systems support integration, but important gaps remain.",Most priority systems support viable integration methods for pilots.,The main systems supporting priority use cases have strong and practical integration options.,2
AIR-Q027,AIR-D04,Can AI outputs be inserted back into real workflows or systems?,"Check whether AI outputs can land where the user already works—such as CRM notes, ticket queues, proposal templates, inbox workflows, or approval tools—rather than living in a disconnected side app.",workflow mockups; system fields; UI screenshots; process redesign notes,AI outputs would remain outside the live workflow and require manual re-entry.,"Only limited insertion points exist, so outputs would still be operationally disconnected.","Some outputs could be inserted into workflow tools, but coverage is incomplete.",Main pilot workflows have practical insertion points for AI outputs.,AI outputs can be embedded directly into the system steps where users already act.,3
AIR-Q028,AIR-D04,"Are teams overly dependent on manual exports, imports, or copy-paste between systems?","Measure how much the current process depends on CSV exports, spreadsheet updates, copy-paste, email forwarding, or manual rekeying between systems.",handoff analysis; user interviews; screen recordings; ops walkthroughs,The workflow is heavily dependent on manual transfers between systems.,Manual exports and copy-paste are frequent and materially slow the process.,There is a mix of manual and automated movement that still creates friction.,Manual transfer points are limited and manageable for a pilot.,Data and task movement across systems is largely automated or system-native.,4
AIR-Q029,AIR-D04,Are system handoffs and dependencies visible enough to support AI design?,"Review whether upstream and downstream dependencies are visible enough to show what triggers the workflow, where data enters, what breaks, and which teams or systems are affected by change.",dependency map; service blueprint; integration flow; support incident themes,System handoffs and dependencies are largely invisible.,Only fragments of the dependency chain are understood.,"The main dependencies are known, but not all failure points or handoffs are mapped.",Most system handoffs and dependencies are visible for the priority workflows.,"An end-to-end dependency view exists, including triggers, handoffs, failure points, and affected owners.",5
AIR-Q030,AIR-D04,Is there a practical technical path to implement the top AI use cases?,"Assess whether there is a realistic implementation path covering data flow, security, user touchpoint, integration approach, and delivery ownership for the top use cases.",solution outline; architecture option paper; pilot design; technical discovery notes,No practical implementation path has been identified.,Possible paths are speculative and leave major technical questions unresolved.,"A workable path is visible, but some dependencies or constraints remain unclear.",There is a credible technical path for the main pilot candidates.,"A well-defined technical path exists for priority pilots, with manageable dependencies and constraints.",6
AIR-Q031,AIR-D04,"Is there technical ownership for integrations, automations, or AI deployment?","Confirm whether technical ownership is assigned across solution design, integration build, security review, support, and post-launch maintenance.",delivery RACI; IT operating model; project plan; support ownership matrix,No one clearly owns technical delivery or support for AI-related work.,Ownership depends on individuals rather than defined roles.,"Some technical ownership exists, but gaps remain across build, security, or support.",Technical ownership is clear for most pilot activities.,"Named technical owners cover design, build, security, support, and change control.",7
AIR-Q032,AIR-D04,Are current systems robust enough to support pilot deployment without major disruption?,"Evaluate whether current systems can absorb a pilot without causing instability, major downtime risk, or unacceptable workarounds for users.",incident trends; platform health reports; release constraints; admin interviews,Current systems are too fragile or overloaded to support a pilot safely.,A pilot would create high disruption risk because the environment is unstable.,"A pilot is possible, but reliability or support risk needs close management.",Current systems are stable enough to support controlled pilot deployment.,"The environment is stable, supported, and operationally ready for pilot activity.",8
AIR-Q033,AIR-D05,Are target processes documented and repeatable?,"Review whether the target process is formally described and can be executed the same way by different people using the same inputs, outputs, and steps.",SOP; desk instructions; playbook; process map; onboarding guide,The process is undocumented and varies by person.,"A loose process exists, but it is not formally documented or reliably repeatable.","Core steps are documented, though consistency still depends on individual practice.",The process is documented and mostly repeatable across the team.,"The process is well-documented, stable, and repeatable across users and locations.",1
AIR-Q034,AIR-D05,Are teams executing the same process consistently?,"Assess whether teams follow the same business rules, thresholds, escalation paths, and completion standards when executing the process.",quality reviews; supervisor observations; calibration notes; audit samples,Different people or teams run the process in materially different ways.,"There are frequent inconsistencies in rules, quality, or handoff behavior.","The process is consistent in core areas, but variation still appears in important cases.",Teams execute the process mostly consistently against shared rules.,"Execution is highly consistent, calibrated, and monitored across the process owners.",2
AIR-Q035,AIR-D05,Are obvious rule-based steps already automated or at least identified?,"Look for rule-based steps that should already be solved with templates, routing rules, validations, or workflow automation before AI is added.",automation inventory; BPM backlog; workflow redesign notes; system rules review,Obvious automation candidates have not been identified and AI is being considered too early.,"Some rule-based tasks are known, but they remain largely untreated.","Basic automation opportunities have been identified, though not consistently addressed.",Most obvious rule-based steps have been identified and several have already been improved.,Rule-based tasks are largely automated or intentionally excluded before AI is introduced.,3
AIR-Q036,AIR-D05,Are process inputs and outputs clearly defined?,"Confirm whether the process has defined inputs, expected outputs, acceptance criteria, and data handoff points so that AI has a clear operating frame.",form design; SOP; template pack; control checklist,Inputs and outputs are unclear or inconsistent.,"Some inputs and outputs are known, but the process still relies on interpretation.","Key inputs and outputs are partly defined, though some ambiguity remains.","Inputs, outputs, and handoffs are defined for most target processes.","Inputs, outputs, acceptance criteria, and handoffs are clearly defined and controlled.",4
AIR-Q037,AIR-D05,Are exception paths understood and manageable?,"Assess whether exception scenarios are known, categorized, and handled through clear escalation or override logic instead of ad hoc intervention.",exception log; escalation matrix; supervisor notes; quality issue tracker,Exception handling is chaotic and largely unmanaged.,"Exceptions are frequent, but there is little consistent logic for handling them.","Common exception types are known, but coverage or escalation rules are incomplete.",Most meaningful exceptions are understood and can be managed operationally.,"Exception categories, thresholds, owners, and escalation paths are clearly defined.",5
AIR-Q038,AIR-D05,Do target processes rely heavily on tribal knowledge?,"Check whether success depends on undocumented know-how held by a few experienced staff, such as how to interpret requests, route cases, or judge completeness.",expert interviews; onboarding material; shadowing notes; SOP gaps,The process depends heavily on tribal knowledge with little documentation.,A significant amount of know-how sits with a small group of experienced staff.,"Some undocumented know-how remains, though parts have been captured.",Most critical know-how has been documented and shared across the team.,The process has low dependency on tribal knowledge because operating logic is clearly documented.,6
AIR-Q039,AIR-D05,Has the business stabilized broken processes before trying to apply AI?,"Review whether the business has already fixed major process instability—such as duplicate handoffs, missing approvals, unclear ownership, or broken intake—before positioning AI as the answer.",continuous improvement log; redesign plan; root-cause actions; ops review,Broken or unstable processes are being targeted for AI without prior stabilisation.,Major process weaknesses remain unresolved and would undermine AI performance.,"Some stabilisation work has happened, but significant weaknesses are still present.",Most major process weaknesses have been addressed before AI design.,The business has deliberately stabilised weak processes before considering AI augmentation.,7
AIR-Q040,AIR-D05,Can target processes support human oversight without breaking workflow speed?,"Assess whether human oversight can be inserted into the process without destroying cycle time, creating new queues, or overloading managers.",timing analysis; QA design; reviewer capacity plan; approval SLA,Human review would make the process too slow or operationally unworkable.,"Oversight is possible only with high friction, delays, or supervisor burden.","A workable oversight model exists, but it may still create bottlenecks in some cases.",Human oversight can be built into the process with manageable delay.,"Oversight fits cleanly into workflow timing, capacity, and quality control requirements.",8
AIR-Q041,AIR-D06,Are there rules for what data can and cannot be used with AI tools?,"Confirm whether staff know what company, customer, employee, financial, or regulated data may be used with approved AI tools and what is prohibited.",AI acceptable-use policy; data handling standard; security awareness material; tool policy,No rules exist on what data may be used with AI tools.,"There is informal caution, but no clear guidance staff can apply.","Basic rules exist, though important edge cases or data classes are not covered.",Clear usage rules cover the main data types and approved tool scenarios.,"A formal policy defines allowed use, prohibited use, approved tools, and handling rules by data type.",1
AIR-Q042,AIR-D06,Are sensitive data categories identified and protected in AI-related workflows?,"Assess whether sensitive data categories are formally identified and protected in workflows involving prompts, uploads, retrieval, storage, or model outputs.",data classification policy; privacy controls; masking rules; access matrix,Sensitive data categories are not identified or protected for AI use.,"Some awareness exists, but controls are weak or inconsistently applied.","Important sensitive categories are known, though protection measures are incomplete.",Most sensitive data classes are identified and protected in the main AI scenarios.,"Sensitive data classes are clearly classified with strong protection, restriction, and monitoring controls.",2
AIR-Q043,AIR-D06,Are human approval requirements defined for higher-risk AI outputs?,"Check whether higher-risk outputs—such as customer communications, financial commentary, legal content, HR decisions, or policy advice—require defined human approval before use.",approval matrix; risk policy; SOP; quality control workflow,No human approval rules exist for higher-risk AI outputs.,Approval happens informally and depends on individual discretion.,"Some high-risk cases require review, but the rules are not complete or consistent.",Clear approval requirements exist for most high-risk AI outputs.,"Approval rules are formally defined by output type, risk level, owner, and escalation path.",3
AIR-Q044,AIR-D06,"Can AI-generated outputs be traced, reviewed, or audited?","Review whether the business can trace which prompts, data sources, model outputs, reviewers, and final actions were involved when AI is used in a workflow.",system logs; audit trail; version history; review records; platform settings,AI activity cannot be traced or audited in a meaningful way.,"Only limited logs or records exist, leaving major accountability gaps.","Some traceability exists, but it is incomplete across sources, outputs, or approvals.",Most pilot-relevant AI activity can be traced and reviewed.,"A strong audit trail covers prompts, inputs, outputs, review actions, and final decisions.",4
AIR-Q045,AIR-D06,Are access controls in place for data and systems used by AI workflows?,"Assess whether least-privilege access, role separation, and secure permissions are already in place for the systems and datasets involved in AI workflows.",role matrix; system permissions; IAM review; admin settings,Access to relevant systems and data is poorly controlled.,"Basic permissions exist, but over-access or weak role separation is common.","Controls are acceptable in parts, though some gaps remain in critical areas.",Access controls are strong for most systems and data used in AI workflows.,"Role-based access and security controls are robust, monitored, and appropriate for AI deployment.",5
AIR-Q046,AIR-D06,"Is there a process to assess vendor, model, or platform risk?","Check whether external AI vendors, models, or platforms are screened for security, privacy, data retention, contractual, and operational risk before use.",vendor checklist; procurement review; security questionnaire; legal review,"There is no process to assess AI vendors, models, or platforms.",Reviews happen inconsistently and only after tools are already in use.,"A basic review process exists, but it is incomplete or inconsistently applied.",Most relevant vendors and tools go through a structured risk review.,"A formal cross-functional process reviews vendor, model, privacy, security, and operational risk before approval.",6
AIR-Q047,AIR-D06,"Are legal, compliance, or regulatory obligations understood for target use cases?","Confirm whether legal, regulatory, contractual, or industry-specific obligations have been identified for the selected use cases, especially where customer data, employment decisions, finance, or communications are involved.",legal memo; compliance review; contract obligations; regulatory checklist,Relevant legal or compliance obligations have not been assessed.,"There is limited awareness of obligations, but no structured interpretation.","Some obligations are understood, though not all priority use cases have been reviewed.",Most key legal and compliance obligations have been identified for the selected use cases.,A clear legal and compliance position exists for each priority use case and is reflected in design controls.,7
AIR-Q048,AIR-D06,Is there a defined governance owner or forum for AI risk oversight?,"Assess whether there is a named owner or forum that reviews AI risk, policy exceptions, pilot approvals, incidents, and ongoing control performance.",governance committee charter; risk forum notes; RACI; policy owner register,No governance owner or forum exists for AI risk oversight.,Oversight is informal and reactive rather than structured.,"A partial owner or forum exists, but cadence or authority is weak.",A clear owner or forum governs the main AI risks and decisions.,"An active governance structure reviews approvals, incidents, policy adherence, and control effectiveness on a defined cadence.",8
AIR-Q049,AIR-D07,Do leaders understand the realistic strengths and limits of AI?,"Check whether leaders understand where AI helps, where it fails, what needs human oversight, and why process/data readiness matters before rollout.",leadership interviews; workshop outputs; executive briefing notes; strategy discussions,"Leaders largely view AI through hype, fear, or vendor claims rather than practical operating reality.",Leadership understanding is limited and misses major constraints or risk factors.,"Leaders have a reasonable high-level view, but lack depth on delivery and operating implications.","Leaders understand the main strengths, limits, and readiness conditions for AI.","Leaders show practical understanding of AI capabilities, failure modes, governance needs, and adoption requirements.",1
AIR-Q050,AIR-D07,Are managers prepared to redesign workflows around AI support?,"Assess whether managers are ready to redesign roles, workflows, controls, and performance expectations when AI is introduced into day-to-day operations.",manager interviews; operating model workshop; department plans; pilot readiness notes,Managers are not prepared to change how work is organised around AI.,Managers show low readiness and still treat AI as an extra tool rather than a workflow change.,"Some managers are prepared, but readiness is uneven across pilot areas.",Most managers in pilot areas are prepared to adapt workflows and controls.,"Managers are actively engaged in redesigning workflows, roles, and oversight around AI support.",2
AIR-Q051,AIR-D07,Are target users likely to trust and use AI outputs appropriately?,"Review whether the intended users trust AI enough to use it, while also understanding when to challenge, correct, or escalate outputs.",user interviews; readiness survey; pilot feedback; workshop notes,Users are likely to reject or misuse AI outputs due to very low trust or understanding.,Trust is weak and users lack confidence in when or how to rely on AI support.,"User readiness is mixed, with openness in some areas but skepticism or confusion in others.",Users are generally open to AI support and understand the basics of responsible use.,"Users show healthy trust, know when to review outputs, and are likely to use AI appropriately in workflow.",3
AIR-Q052,AIR-D07,Is resistance to workflow change likely to block adoption?,"Assess whether workflow change is likely to be blocked by fear of job impact, quality concerns, control concerns, manager resistance, or past change fatigue.",stakeholder map; interview themes; change risk log; pulse survey,Resistance is likely to materially block rollout in the target areas.,Resistance is high and there is no clear plan to address it.,"There is some resistance, but it appears manageable with focused change work.",Resistance is limited and can be addressed through normal enablement efforts.,Change resistance is low and the organisation shows good readiness to adapt operating practices.,4
AIR-Q053,AIR-D07,Are training plans in place for teams affected by AI changes?,"Check whether training is planned for affected users, reviewers, managers, and support teams, covering both tool usage and new workflow responsibilities.",training plan; enablement deck; role-based curriculum; onboarding plan,No training plan exists for affected teams.,"Training has been mentioned, but not designed around roles or workflow impact.","Some training is planned, though scope or audience coverage is incomplete.",A clear training approach exists for the main pilot roles.,"Role-based training is fully planned across users, reviewers, managers, and support teams.",5
AIR-Q054,AIR-D07,"Is there a clear owner for AI adoption, not just technology delivery?","Confirm whether someone owns adoption outcomes such as usage, compliance with the new process, feedback capture, and correction of low uptake—not just technical launch.",project governance; adoption KPI owner; RACI; change plan,No one owns adoption after the tool is introduced.,Adoption is assumed to happen naturally once the technology is available.,"Partial adoption ownership exists, but responsibilities are not complete.",A clear owner is accountable for adoption in the main pilot areas.,"A named owner is accountable for adoption metrics, feedback loops, and corrective action.",6
AIR-Q055,AIR-D07,Do teams understand how human oversight will work in practice?,"Assess whether teams understand what they are expected to review, when they must override AI, what quality standard applies, and who is accountable for final decisions.",workflow guide; SOP; QA framework; reviewer training notes,Teams do not understand how oversight should work in practice.,Oversight expectations are vague and likely to create inconsistent behavior.,"Basic oversight roles are defined, but clarity is still uneven across teams.",Most affected teams understand their oversight role and decision responsibility.,"Oversight responsibilities, review triggers, escalation, and accountability are clearly understood across teams.",7
AIR-Q056,AIR-D07,Is cross-functional collaboration strong enough to support AI implementation?,"Check whether business, operations, data, risk, and technology teams can work together quickly enough to design, approve, deploy, and improve AI use cases.",governance cadence; delivery squad structure; issue log; operating rhythm,Cross-functional collaboration is too weak or siloed to support implementation.,Important teams work separately and coordination issues are likely to delay delivery.,"Collaboration works in some areas, but coordination is still inconsistent.",The key teams can generally collaborate effectively on pilot delivery.,"Cross-functional collaboration is strong, with clear forums, decision paths, and delivery rhythm.",8
AIR-Q057,AIR-D08,Are baseline metrics available for target workflows?,"Confirm whether current baseline measures exist for the selected workflows, such as turnaround time, backlog, conversion, error rate, QA score, handle time, or cost per task.",dashboard; workflow report; SLA report; finance analysis; quality scorecard,No baseline performance data exists for the target workflows.,Only anecdotal or incomplete baseline information is available.,"Some useful baseline metrics exist, but not enough for strong comparison.",Baseline metrics are available for most of the main pilot workflows.,A strong baseline exists across the key performance measures needed to assess pilot impact.,1
