Appendix — 32_lib_findings,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,
,,,,,,,
finding_id,domain_id,severity_band,finding_title,finding_summary,business_impact,,
AIR-F011,AIR-D04,Developing,"There is a technical path, but workflow embedding is not yet strong enough","Relevant systems can support parts of the AI solution, but manual transfers, incomplete dependency mapping, or limited insertion points still weaken the path from pilot to production.","A pilot may run, but operational adoption and scale will be harder unless integration design is strengthened.",,
AIR-F012,AIR-D04,Strong / Managed,The technology environment can support embedded AI delivery,"The core systems, integration methods, ownership, and workflow insertion points are sufficiently clear to place AI outputs inside real operational processes.",The business can pursue pilots that work inside existing systems rather than adding another disconnected tool.,,
AIR-F013,AIR-D05,Critical / Weak,Process discipline is not yet strong enough for AI layering,"Target workflows remain unstable, inconsistently executed, dependent on tribal knowledge, or crowded with unaddressed rule-based tasks that should be fixed before AI is introduced.",AI would add complexity to weak processes and is likely to amplify inconsistency instead of reducing it.,,
AIR-F014,AIR-D05,Developing,"The process base is improving, but selected workflows still need control tightening","Core workflows have some repeatability, but variation, unclear exceptions, partial SOP coverage, or weak automation discipline still reduce AI readiness.","AI may be viable in limited areas, but process maturity gaps will still constrain quality, scalability, and reviewer burden.",,
AIR-F015,AIR-D05,Strong / Managed,Processes are mature enough to support controlled AI augmentation,"The priority workflows are sufficiently documented, repeatable, and operationally controlled to support AI assistance without destabilising the process.",The business can introduce AI into workflows where process variation and oversight burden are less likely to undermine results.,,
AIR-F016,AIR-D06,Critical / Weak,AI control requirements are not yet strong enough for safe deployment,"Rules for approved data use, sensitive data handling, human approval, traceability, vendor review, and governance ownership are incomplete or weak for the intended AI scenarios.","The organisation is exposed to avoidable privacy, security, compliance, and accountability risk if deployment moves ahead too quickly.",,
AIR-F017,AIR-D06,Developing,"Basic AI controls exist, but operating governance is still incomplete","The business has started to define acceptable use and control expectations, but auditability, risk ownership, legal interpretation, or approval logic still need strengthening for live deployment.","Low-risk pilots may be possible, but governance gaps increase exposure as use cases become more material or externally facing.",,
AIR-F018,AIR-D06,Strong / Managed,Governance foundations can support responsible AI use,"The business has workable policy, review, audit, access, and oversight structures for the selected AI scenarios.","AI can be introduced with clearer control boundaries, accountability, and decision rights.",,
AIR-F019,AIR-D07,Critical / Weak,Adoption risk is likely to undermine implementation,"Leadership, managers, or users do not yet show enough practical understanding, trust, ownership, or change readiness to absorb AI into the way work is actually done.","Even a technically sound deployment could underperform because teams may resist it, misuse it, or fail to change the workflow around it.",,
AIR-F020,AIR-D07,Developing,Readiness to adopt AI is visible but still uneven,"There is interest and some momentum for AI, but training, manager readiness, oversight clarity, or ownership of adoption still need to mature.","Pilots may gain traction, but sustained usage and operating change are not yet guaranteed.",,
AIR-F021,AIR-D07,Strong / Managed,The business has the people conditions needed for adoption,"Leaders understand the practical role of AI, managers are ready to adapt workflows, users are reasonably prepared, and adoption ownership is visible.",The organisation is better placed to move from pilot launch to actual usage and workflow change.,,
AIR-F022,AIR-D08,Critical / Weak,The business cannot yet prove AI value with confidence,"Baseline measures, success definitions, pilot scorecards, financial value logic, or post-launch accountability are not strong enough to evaluate AI as an investment.","AI may be funded as an experiment, but the business will struggle to know whether to scale, redesign, or stop.",,
AIR-F023,AIR-D08,Developing,"Measurement logic exists, but not yet at decision-grade strength","Some value measures and pilot KPIs are visible, but comparisons, scale thresholds, or financial assumptions still need to be tightened.","AI results may look promising, but scaling decisions will still rely partly on judgment rather than evidence.",,
AIR-F024,AIR-D08,Strong / Managed,"AI value can be measured, governed, and used for scale decisions","The business has clear baselines, success metrics, comparison logic, and financial framing for the priority use cases.","Leadership can make stronger go, pause, redesign, or scale decisions based on evidence rather than enthusiasm.",,
